,image,superpixels,compactness,model,shap_value,background,predicted,predicted_var,P(e = 0)
0,Llama.png,10,10,alexnet,2.5922646487408016,0,8.82577364893801,1.2970184325456566,0.3546081204743931
1,Llama.png,10,10,alexnet,0.07553533528473055,0,8.82577364893801,1.2970184325456566,0.3546081204743931
2,Llama.png,10,10,alexnet,2.0783394554309105,0,8.82577364893801,1.2970184325456566,0.3546081204743931
3,Llama.png,10,10,alexnet,11.55812361040358,0,8.82577364893801,1.2970184325456566,0.3546081204743931
4,Llama.png,10,10,alexnet,1.484360384755931,0,8.82577364893801,1.2970184325456566,0.3546081204743931
5,Llama.png,10,10,alexnet,0.7364884317565443,0,8.82577364893801,1.2970184325456566,0.3546081204743931
0,Llama.png,10,10,alexnet,1.678071017971068,mean,10.752047338365921,1.7133891167750346,0.26610504137944957
1,Llama.png,10,10,alexnet,0.596544803753337,mean,10.752047338365921,1.7133891167750346,0.26610504137944957
2,Llama.png,10,10,alexnet,1.2742739995642558,mean,10.752047338365921,1.7133891167750346,0.26610504137944957
3,Llama.png,10,10,alexnet,16.904775293186894,mean,10.752047338365921,1.7133891167750346,0.26610504137944957
4,Llama.png,10,10,alexnet,1.7167975175352657,mean,10.752047338365921,1.7133891167750346,0.26610504137944957
5,Llama.png,10,10,alexnet,0.8616605835954276,mean,10.752047338365921,1.7133891167750346,0.26610504137944957
0,Llama.png,10,1000,alexnet,2.4314849369378844,0,8.986197776337196,1.1189455798648613,0.46503890114499846
1,Llama.png,10,1000,alexnet,2.564920995754776,0,8.986197776337196,1.1189455798648613,0.46503890114499846
2,Llama.png,10,1000,alexnet,0.5741304366352624,0,8.986197776337196,1.1189455798648613,0.46503890114499846
3,Llama.png,10,1000,alexnet,1.2250537428000576,0,8.986197776337196,1.1189455798648613,0.46503890114499846
4,Llama.png,10,1000,alexnet,2.5229628397640536,0,8.986197776337196,1.1189455798648613,0.46503890114499846
5,Llama.png,10,1000,alexnet,1.1833862807343674,0,8.986197776337196,1.1189455798648613,0.46503890114499846
6,Llama.png,10,1000,alexnet,2.177072870385219,0,8.986197776337196,1.1189455798648613,0.46503890114499846
7,Llama.png,10,1000,alexnet,2.1218986160432363,0,8.986197776337196,1.1189455798648613,0.46503890114499846
8,Llama.png,10,1000,alexnet,3.726346718109288,0,8.986197776337196,1.1189455798648613,0.46503890114499846
0,Llama.png,10,1000,alexnet,2.6526668179054242,mean,10.376761647829435,1.132622807284805,0.47630958392714706
1,Llama.png,10,1000,alexnet,4.010348162556602,mean,10.376761647829435,1.132622807284805,0.47630958392714706
2,Llama.png,10,1000,alexnet,0.006842893615624401,mean,10.376761647829435,1.132622807284805,0.47630958392714706
3,Llama.png,10,1000,alexnet,1.5725307871254484,mean,10.376761647829435,1.132622807284805,0.47630958392714706
4,Llama.png,10,1000,alexnet,1.9939508907714267,mean,10.376761647829435,1.132622807284805,0.47630958392714706
5,Llama.png,10,1000,alexnet,0.8827847894399918,mean,10.376761647829435,1.132622807284805,0.47630958392714706
6,Llama.png,10,1000,alexnet,3.038105981293388,mean,10.376761647829435,1.132622807284805,0.47630958392714706
7,Llama.png,10,1000,alexnet,1.849307001652241,mean,10.376761647829435,1.132622807284805,0.47630958392714706
8,Llama.png,10,1000,alexnet,3.4852433283888855,mean,10.376761647829435,1.132622807284805,0.47630958392714706
