,image,superpixels,compactness,model,shap_value,background,predicted,predicted_var,P(e = 0)
0,Llama.png,10,10,resnet152,0.5655781727143079,0,1.9268099633703812,0.7425625758799519,0.5817090818106295
1,Llama.png,10,10,resnet152,0.12805471953378017,0,1.9268099633703812,0.7425625758799519,0.5817090818106295
2,Llama.png,10,10,resnet152,0.3172304825429647,0,1.9268099633703812,0.7425625758799519,0.5817090818106295
3,Llama.png,10,10,resnet152,6.708341347234947,0,1.9268099633703812,0.7425625758799519,0.5817090818106295
4,Llama.png,10,10,resnet152,0.2338273955601547,0,1.9268099633703812,0.7425625758799519,0.5817090818106295
5,Llama.png,10,10,resnet152,0.17419799939445202,0,1.9268099633703812,0.7425625758799519,0.5817090818106295
0,Llama.png,10,10,resnet152,3.4579639925517083,mean,3.9059154500643416,0.8939801197888387,0.5029664893698531
1,Llama.png,10,10,resnet152,0.15444508771725063,mean,3.9059154500643416,0.8939801197888387,0.5029664893698531
2,Llama.png,10,10,resnet152,0.9805351539490017,mean,3.9059154500643416,0.8939801197888387,0.5029664893698531
3,Llama.png,10,10,resnet152,4.481497181446683,mean,3.9059154500643416,0.8939801197888387,0.5029664893698531
4,Llama.png,10,10,resnet152,1.080439307930445,mean,3.9059154500643416,0.8939801197888387,0.5029664893698531
5,Llama.png,10,10,resnet152,-0.2008401985625608,mean,3.9059154500643416,0.8939801197888387,0.5029664893698531
0,Llama.png,10,100,resnet152,2.102499053889027,0,2.654725884046096,0.7784684545431977,0.6738201492871395
1,Llama.png,10,100,resnet152,-0.7794163241357321,0,2.654725884046096,0.7784684545431977,0.6738201492871395
2,Llama.png,10,100,resnet152,1.1121340449623491,0,2.654725884046096,0.7784684545431977,0.6738201492871395
3,Llama.png,10,100,resnet152,2.5004683773400562,0,2.654725884046096,0.7784684545431977,0.6738201492871395
4,Llama.png,10,100,resnet152,0.11593738744142246,0,2.654725884046096,0.7784684545431977,0.6738201492871395
5,Llama.png,10,100,resnet152,0.017681851153295236,0,2.654725884046096,0.7784684545431977,0.6738201492871395
6,Llama.png,10,100,resnet152,2.3499732746319655,0,2.654725884046096,0.7784684545431977,0.6738201492871395
7,Llama.png,10,100,resnet152,0.6704475692563292,0,2.654725884046096,0.7784684545431977,0.6738201492871395
8,Llama.png,10,100,resnet152,0.7123720565084481,0,2.654725884046096,0.7784684545431977,0.6738201492871395
0,Llama.png,10,100,resnet152,2.7066650921453714,mean,2.1215110632934056,0.6330419410737259,0.8463077221022098
1,Llama.png,10,100,resnet152,-0.5823711314370834,mean,2.1215110632934056,0.6330419410737259,0.8463077221022098
2,Llama.png,10,100,resnet152,-0.6095310987337165,mean,2.1215110632934056,0.6330419410737259,0.8463077221022098
3,Llama.png,10,100,resnet152,2.4568369018061014,mean,2.1215110632934056,0.6330419410737259,0.8463077221022098
4,Llama.png,10,100,resnet152,-0.6948115795244524,mean,2.1215110632934056,0.6330419410737259,0.8463077221022098
5,Llama.png,10,100,resnet152,-1.0780235773193203,mean,2.1215110632934056,0.6330419410737259,0.8463077221022098
6,Llama.png,10,100,resnet152,2.2092905480516567,mean,2.1215110632934056,0.6330419410737259,0.8463077221022098
7,Llama.png,10,100,resnet152,0.9224074444324831,mean,2.1215110632934056,0.6330419410737259,0.8463077221022098
8,Llama.png,10,100,resnet152,0.5840943643593631,mean,2.1215110632934056,0.6330419410737259,0.8463077221022098
0,Llama.png,10,1000,resnet152,1.3395000245606445,0,2.0865555893940986,0.4449137246357216,1.2036868521538602
1,Llama.png,10,1000,resnet152,-0.34828911417662023,0,2.0865555893940986,0.4449137246357216,1.2036868521538602
2,Llama.png,10,1000,resnet152,-0.33462665503963884,0,2.0865555893940986,0.4449137246357216,1.2036868521538602
3,Llama.png,10,1000,resnet152,0.6662550549106575,0,2.0865555893940986,0.4449137246357216,1.2036868521538602
4,Llama.png,10,1000,resnet152,1.0018254084071634,0,2.0865555893940986,0.4449137246357216,1.2036868521538602
5,Llama.png,10,1000,resnet152,1.0988360368311547,0,2.0865555893940986,0.4449137246357216,1.2036868521538602
6,Llama.png,10,1000,resnet152,0.4846681308716799,0,2.0865555893940986,0.4449137246357216,1.2036868521538602
7,Llama.png,10,1000,resnet152,0.37177474802594346,0,2.0865555893940986,0.4449137246357216,1.2036868521538602
8,Llama.png,10,1000,resnet152,1.055556064735809,0,2.0865555893940986,0.4449137246357216,1.2036868521538602
0,Llama.png,10,1000,resnet152,1.2574987652584597,mean,1.813140845497791,0.38182037397228447,1.2547077846593437
1,Llama.png,10,1000,resnet152,-0.7921542160863257,mean,1.813140845497791,0.38182037397228447,1.2547077846593437
2,Llama.png,10,1000,resnet152,-0.33204394792063674,mean,1.813140845497791,0.38182037397228447,1.2547077846593437
3,Llama.png,10,1000,resnet152,0.5820574922808484,mean,1.813140845497791,0.38182037397228447,1.2547077846593437
4,Llama.png,10,1000,resnet152,0.8082581564105649,mean,1.813140845497791,0.38182037397228447,1.2547077846593437
5,Llama.png,10,1000,resnet152,1.02641884078366,mean,1.813140845497791,0.38182037397228447,1.2547077846593437
6,Llama.png,10,1000,resnet152,0.5565549220765724,mean,1.813140845497791,0.38182037397228447,1.2547077846593437
7,Llama.png,10,1000,resnet152,1.1836170434695683,mean,1.813140845497791,0.38182037397228447,1.2547077846593437
8,Llama.png,10,1000,resnet152,0.5303248395994591,mean,1.813140845497791,0.38182037397228447,1.2547077846593437
0,Llama.png,20,10,resnet152,0.1243058002201376,0,1.6467134421741685,0.8676755714835843,0.6394764523957112
1,Llama.png,20,10,resnet152,-0.07760562481868938,0,1.6467134421741685,0.8676755714835843,0.6394764523957112
2,Llama.png,20,10,resnet152,-0.5182230078751209,0,1.6467134421741685,0.8676755714835843,0.6394764523957112
3,Llama.png,20,10,resnet152,5.667914314944076,0,1.6467134421741685,0.8676755714835843,0.6394764523957112
4,Llama.png,20,10,resnet152,0.9379346748675546,0,1.6467134421741685,0.8676755714835843,0.6394764523957112
5,Llama.png,20,10,resnet152,0.2235232572643704,0,1.6467134421741685,0.8676755714835843,0.6394764523957112
6,Llama.png,20,10,resnet152,-0.31480807444045666,0,1.6467134421741685,0.8676755714835843,0.6394764523957112
7,Llama.png,20,10,resnet152,-0.13557205989113585,0,1.6467134421741685,0.8676755714835843,0.6394764523957112
8,Llama.png,20,10,resnet152,-2.4806527287773177,0,1.6467134421741685,0.8676755714835843,0.6394764523957112
9,Llama.png,20,10,resnet152,1.1790614512011304,0,1.6467134421741685,0.8676755714835843,0.6394764523957112
10,Llama.png,20,10,resnet152,2.802466820462532,0,1.6467134421741685,0.8676755714835843,0.6394764523957112
11,Llama.png,20,10,resnet152,-0.5639979741733665,0,1.6467134421741685,0.8676755714835843,0.6394764523957112
0,Llama.png,20,10,resnet152,2.955088202980529,mean,1.6179813085438122,0.924027923662513,0.6006980956720581
1,Llama.png,20,10,resnet152,0.37153002050098904,mean,1.6179813085438122,0.924027923662513,0.6006980956720581
2,Llama.png,20,10,resnet152,-0.26396466968392573,mean,1.6179813085438122,0.924027923662513,0.6006980956720581
3,Llama.png,20,10,resnet152,5.172946496904567,mean,1.6179813085438122,0.924027923662513,0.6006980956720581
4,Llama.png,20,10,resnet152,3.7583967436031678,mean,1.6179813085438122,0.924027923662513,0.6006980956720581
5,Llama.png,20,10,resnet152,-0.5097901582262958,mean,1.6179813085438122,0.924027923662513,0.6006980956720581
6,Llama.png,20,10,resnet152,-0.20075253774604462,mean,1.6179813085438122,0.924027923662513,0.6006980956720581
7,Llama.png,20,10,resnet152,-1.2099921854452842,mean,1.6179813085438122,0.924027923662513,0.6006980956720581
8,Llama.png,20,10,resnet152,-2.1856594659448296,mean,1.6179813085438122,0.924027923662513,0.6006980956720581
9,Llama.png,20,10,resnet152,-0.823306555332608,mean,1.6179813085438122,0.924027923662513,0.6006980956720581
10,Llama.png,20,10,resnet152,0.30164072811023623,mean,1.6179813085438122,0.924027923662513,0.6006980956720581
11,Llama.png,20,10,resnet152,-0.4713601520945292,mean,1.6179813085438122,0.924027923662513,0.6006980956720581
0,Llama.png,20,100,resnet152,-1.7047428896772923,0,1.5462611511762416,0.9228579619408793,0.6103974585111464
1,Llama.png,20,100,resnet152,2.8932661460919222,0,1.5462611511762416,0.9228579619408793,0.6103974585111464
2,Llama.png,20,100,resnet152,-1.1445460553221407,0,1.5462611511762416,0.9228579619408793,0.6103974585111464
3,Llama.png,20,100,resnet152,-1.3332060497462317,0,1.5462611511762416,0.9228579619408793,0.6103974585111464
4,Llama.png,20,100,resnet152,3.5799131250084577,0,1.5462611511762416,0.9228579619408793,0.6103974585111464
5,Llama.png,20,100,resnet152,-1.5573416837156486,0,1.5462611511762416,0.9228579619408793,0.6103974585111464
6,Llama.png,20,100,resnet152,-1.6549905753277603,0,1.5462611511762416,0.9228579619408793,0.6103974585111464
7,Llama.png,20,100,resnet152,-1.7811984687892943,0,1.5462611511762416,0.9228579619408793,0.6103974585111464
8,Llama.png,20,100,resnet152,2.985383820806343,0,1.5462611511762416,0.9228579619408793,0.6103974585111464
9,Llama.png,20,100,resnet152,-1.2159342682424996,0,1.5462611511762416,0.9228579619408793,0.6103974585111464
10,Llama.png,20,100,resnet152,0.5861219453833715,0,1.5462611511762416,0.9228579619408793,0.6103974585111464
11,Llama.png,20,100,resnet152,1.218748179537943,0,1.5462611511762416,0.9228579619408793,0.6103974585111464
12,Llama.png,20,100,resnet152,2.2200595393558107,0,1.5462611511762416,0.9228579619408793,0.6103974585111464
13,Llama.png,20,100,resnet152,1.7197779172736725,0,1.5462611511762416,0.9228579619408793,0.6103974585111464
14,Llama.png,20,100,resnet152,-0.14212158326920665,0,1.5462611511762416,0.9228579619408793,0.6103974585111464
15,Llama.png,20,100,resnet152,1.9448080638832788,0,1.5462611511762416,0.9228579619408793,0.6103974585111464
0,Llama.png,20,100,resnet152,-1.652774586404461,mean,1.5475012382081585,1.0728465332463775,0.5250394322611432
1,Llama.png,20,100,resnet152,3.893114461966164,mean,1.5475012382081585,1.0728465332463775,0.5250394322611432
2,Llama.png,20,100,resnet152,-1.7153738582495315,mean,1.5475012382081585,1.0728465332463775,0.5250394322611432
3,Llama.png,20,100,resnet152,-1.4256805894886253,mean,1.5475012382081585,1.0728465332463775,0.5250394322611432
4,Llama.png,20,100,resnet152,5.803788188216273,mean,1.5475012382081585,1.0728465332463775,0.5250394322611432
5,Llama.png,20,100,resnet152,-1.2080689790575798,mean,1.5475012382081585,1.0728465332463775,0.5250394322611432
6,Llama.png,20,100,resnet152,-1.7519748034668599,mean,1.5475012382081585,1.0728465332463775,0.5250394322611432
