,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
0,Llama.png,9,50,visiontransformer,-0.2446057122799623,255,2.718173653951718,0.7426290449569846,0.7229300632681228,10
1,Llama.png,9,50,visiontransformer,-0.37939732777361224,255,2.718173653951718,0.7426290449569846,0.7229300632681228,10
2,Llama.png,9,50,visiontransformer,-0.892263188100146,255,2.718173653951718,0.7426290449569846,0.7229300632681228,10
3,Llama.png,9,50,visiontransformer,4.593276332909527,255,2.718173653951718,0.7426290449569846,0.7229300632681228,10
4,Llama.png,9,50,visiontransformer,0.7426359975782614,255,2.718173653951718,0.7426290449569846,0.7229300632681228,10
5,Llama.png,9,50,visiontransformer,0.6425436054108289,255,2.718173653951718,0.7426290449569846,0.7229300632681228,10
6,Llama.png,9,50,visiontransformer,1.6886766708149812,255,2.718173653951718,0.7426290449569846,0.7229300632681228,10
7,Llama.png,9,50,visiontransformer,0.8334817808098596,255,2.718173653951718,0.7426290449569846,0.7229300632681228,10
8,Llama.png,9,50,visiontransformer,0.6660506258497789,255,2.718173653951718,0.7426290449569846,0.7229300632681228,10
0,Llama.png,9,30,visiontransformer,0.4963717715838104,median,2.328585789376688,0.4046395817680923,1.1864628183655466,10
1,Llama.png,9,30,visiontransformer,-0.5096716919179384,median,2.328585789376688,0.4046395817680923,1.1864628183655466,10
2,Llama.png,9,30,visiontransformer,0.12245905701544724,median,2.328585789376688,0.4046395817680923,1.1864628183655466,10
3,Llama.png,9,30,visiontransformer,2.2902668318140647,median,2.328585789376688,0.4046395817680923,1.1864628183655466,10
4,Llama.png,9,30,visiontransformer,-0.16671455048720896,median,2.328585789376688,0.4046395817680923,1.1864628183655466,10
5,Llama.png,9,30,visiontransformer,0.3534272114912713,median,2.328585789376688,0.4046395817680923,1.1864628183655466,10
6,Llama.png,9,30,visiontransformer,1.8485628362227142,median,2.328585789376688,0.4046395817680923,1.1864628183655466,10
7,Llama.png,9,30,visiontransformer,1.1636927581755043,median,2.328585789376688,0.4046395817680923,1.1864628183655466,10
