,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
0,broccoli_cauli.jpg,9,50,resnet152,-0.07016683607906038,0,0.1506559450022288,0.0469310147408089,11.065361942220294,10
1,broccoli_cauli.jpg,9,50,resnet152,-0.17727178657733417,0,0.1506559450022288,0.0469310147408089,11.065361942220294,10
2,broccoli_cauli.jpg,9,50,resnet152,0.2661490151981244,0,0.1506559450022288,0.0469310147408089,11.065361942220294,10
3,broccoli_cauli.jpg,9,50,resnet152,-0.09631834076441172,0,0.1506559450022288,0.0469310147408089,11.065361942220294,10
4,broccoli_cauli.jpg,9,50,resnet152,0.10843194988344076,0,0.1506559450022288,0.0469310147408089,11.065361942220294,10
5,broccoli_cauli.jpg,9,50,resnet152,-0.041288145276618324,0,0.1506559450022288,0.0469310147408089,11.065361942220294,10
6,broccoli_cauli.jpg,9,50,resnet152,-0.15723683240776387,0,0.1506559450022288,0.0469310147408089,11.065361942220294,10
7,broccoli_cauli.jpg,9,50,resnet152,0.06187341553436308,0,0.1506559450022288,0.0469310147408089,11.065361942220294,10
8,broccoli_cauli.jpg,9,50,resnet152,0.012431369437138918,0,0.1506559450022288,0.0469310147408089,11.065361942220294,10
0,broccoli_cauli.jpg,16,50,resnet152,-0.24465624494152066,0,0.16329655266007806,0.13528981792454448,4.1631808997732485,20
1,broccoli_cauli.jpg,16,50,resnet152,-0.2021349706224733,0,0.16329655266007806,0.13528981792454448,4.1631808997732485,20
2,broccoli_cauli.jpg,16,50,resnet152,-0.24469778050634483,0,0.16329655266007806,0.13528981792454448,4.1631808997732485,20
3,broccoli_cauli.jpg,16,50,resnet152,-0.24268978386178913,0,0.16329655266007806,0.13528981792454448,4.1631808997732485,20
4,broccoli_cauli.jpg,16,50,resnet152,0.5742492225169913,0,0.16329655266007806,0.13528981792454448,4.1631808997732485,20
5,broccoli_cauli.jpg,16,50,resnet152,0.5696647188194286,0,0.16329655266007806,0.13528981792454448,4.1631808997732485,20
6,broccoli_cauli.jpg,16,50,resnet152,-0.24589771100284608,0,0.16329655266007806,0.13528981792454448,4.1631808997732485,20
7,broccoli_cauli.jpg,16,50,resnet152,-0.24871530800623798,0,0.16329655266007806,0.13528981792454448,4.1631808997732485,20
8,broccoli_cauli.jpg,16,50,resnet152,-0.24577440735193645,0,0.16329655266007806,0.13528981792454448,4.1631808997732485,20
9,broccoli_cauli.jpg,16,50,resnet152,0.47019217364268395,0,0.16329655266007806,0.13528981792454448,4.1631808997732485,20
10,broccoli_cauli.jpg,16,50,resnet152,0.46552110692376214,0,0.16329655266007806,0.13528981792454448,4.1631808997732485,20
11,broccoli_cauli.jpg,16,50,resnet152,-0.15108073685230144,0,0.16329655266007806,0.13528981792454448,4.1631808997732485,20
12,broccoli_cauli.jpg,16,50,resnet152,-0.24481056901427184,0,0.16329655266007806,0.13528981792454448,4.1631808997732485,20
13,broccoli_cauli.jpg,16,50,resnet152,-0.24087915851114633,0,0.16329655266007806,0.13528981792454448,4.1631808997732485,20
14,broccoli_cauli.jpg,16,50,resnet152,0.3205458602597353,0,0.16329655266007806,0.13528981792454448,4.1631808997732485,20
