,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
0,broccoli_cauli.jpg,5,10,alexnet,-0.44587447823547,mean,-0.5200737826753468,0.8563555072037806,0.5191643099324561,10
1,broccoli_cauli.jpg,5,10,alexnet,0.9540991515313072,mean,-0.5200737826753468,0.8563555072037806,0.5191643099324561,10
2,broccoli_cauli.jpg,5,10,alexnet,6.098483788259152,mean,-0.5200737826753468,0.8563555072037806,0.5191643099324561,10
3,broccoli_cauli.jpg,5,10,alexnet,1.1252317081830059,mean,-0.5200737826753468,0.8563555072037806,0.5191643099324561,10
4,broccoli_cauli.jpg,5,10,alexnet,-1.5541238547266292,mean,-0.5200737826753468,0.8563555072037806,0.5191643099324561,10
0,broccoli_cauli.jpg,5,10,alexnet,-0.7023386297523608,0,-0.84426191388593,0.8793498270324508,0.5122014420938463,10
1,broccoli_cauli.jpg,5,10,alexnet,2.417345432982395,0,-0.84426191388593,0.8793498270324508,0.5122014420938463,10
2,broccoli_cauli.jpg,5,10,alexnet,3.786978714909085,0,-0.84426191388593,0.8793498270324508,0.5122014420938463,10
3,broccoli_cauli.jpg,5,10,alexnet,1.078274382723585,0,-0.84426191388593,0.8793498270324508,0.5122014420938463,10
4,broccoli_cauli.jpg,5,10,alexnet,-0.01763640255907961,0,-0.84426191388593,0.8793498270324508,0.5122014420938463,10
0,broccoli_cauli.jpg,5,10,alexnet,-1.3536941815689594,255,-1.056380841776659,0.8239424150974884,0.5358170133305058,10
1,broccoli_cauli.jpg,5,10,alexnet,1.3040786857631554,255,-1.056380841776659,0.8239424150974884,0.5358170133305058,10
2,broccoli_cauli.jpg,5,10,alexnet,5.672008663975898,255,-1.056380841776659,0.8239424150974884,0.5358170133305058,10
3,broccoli_cauli.jpg,5,10,alexnet,-0.056723444585742744,255,-1.056380841776659,0.8239424150974884,0.5358170133305058,10
4,broccoli_cauli.jpg,5,10,alexnet,0.3243823166838802,255,-1.056380841776659,0.8239424150974884,0.5358170133305058,10
0,broccoli_cauli.jpg,9,30,alexnet,-0.42118457464932013,0,-1.2013383932258437,0.8789047218022348,0.6205075951502673,10
1,broccoli_cauli.jpg,9,30,alexnet,-0.9045243146045463,0,-1.2013383932258437,0.8789047218022348,0.6205075951502673,10
2,broccoli_cauli.jpg,9,30,alexnet,-0.060897350705010345,0,-1.2013383932258437,0.8789047218022348,0.6205075951502673,10
