,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
0,broccoli_cauli.jpg,5,10,googlenet,-0.03577623576248559,255,-2.354877756048842,0.6200897448755344,0.7007103856842614,10
1,broccoli_cauli.jpg,5,10,googlenet,1.8425800693001273,255,-2.354877756048842,0.6200897448755344,0.7007103856842614,10
2,broccoli_cauli.jpg,5,10,googlenet,1.4931702911220515,255,-2.354877756048842,0.6200897448755344,0.7007103856842614,10
3,broccoli_cauli.jpg,5,10,googlenet,-0.03669340123014167,255,-2.354877756048842,0.6200897448755344,0.7007103856842614,10
4,broccoli_cauli.jpg,5,10,googlenet,-0.6015807506976413,255,-2.354877756048842,0.6200897448755344,0.7007103856842614,10
0,broccoli_cauli.jpg,5,10,googlenet,-0.06935029283456717,mean,-2.271905311543326,0.5715479623910934,0.7692679622022507,10
1,broccoli_cauli.jpg,5,10,googlenet,1.2676332611285324,mean,-2.271905311543326,0.5715479623910934,0.7692679622022507,10
2,broccoli_cauli.jpg,5,10,googlenet,1.756470158275444,mean,-2.271905311543326,0.5715479623910934,0.7692679622022507,10
3,broccoli_cauli.jpg,5,10,googlenet,-0.2598946286296082,mean,-2.271905311543326,0.5715479623910934,0.7692679622022507,10
4,broccoli_cauli.jpg,5,10,googlenet,-0.15075275769391228,mean,-2.271905311543326,0.5715479623910934,0.7692679622022507,10
0,broccoli_cauli.jpg,5,10,googlenet,0.20200132867043255,0,-1.3424791385145616,0.8160650367254932,0.53282513724383,10
1,broccoli_cauli.jpg,5,10,googlenet,1.453812829588559,0,-1.3424791385145616,0.8160650367254932,0.53282513724383,10
2,broccoli_cauli.jpg,5,10,googlenet,2.347980261277226,0,-1.3424791385145616,0.8160650367254932,0.53282513724383,10
3,broccoli_cauli.jpg,5,10,googlenet,-0.1279591386375839,0,-1.3424791385145616,0.8160650367254932,0.53282513724383,10
4,broccoli_cauli.jpg,5,10,googlenet,-1.407215032875663,0,-1.3424791385145616,0.8160650367254932,0.53282513724383,10
0,broccoli_cauli.jpg,9,30,googlenet,-1.192256430052622,255,-3.038763697590176,0.6679348357239573,0.7959319751740394,10
1,broccoli_cauli.jpg,9,30,googlenet,0.5032878755396484,255,-3.038763697590176,0.6679348357239573,0.7959319751740394,10
2,broccoli_cauli.jpg,9,30,googlenet,-1.3063945699804418,255,-3.038763697590176,0.6679348357239573,0.7959319751740394,10
3,broccoli_cauli.jpg,9,30,googlenet,2.103164390972289,255,-3.038763697590176,0.6679348357239573,0.7959319751740394,10
4,broccoli_cauli.jpg,9,30,googlenet,0.6750632045367018,255,-3.038763697590176,0.6679348357239573,0.7959319751740394,10
5,broccoli_cauli.jpg,9,30,googlenet,-0.34181281435521615,255,-3.038763697590176,0.6679348357239573,0.7959319751740394,10
6,broccoli_cauli.jpg,9,30,googlenet,0.03554391841868003,255,-3.038763697590176,0.6679348357239573,0.7959319751740394,10
7,broccoli_cauli.jpg,9,30,googlenet,1.6582194948174178,255,-3.038763697590176,0.6679348357239573,0.7959319751740394,10
8,broccoli_cauli.jpg,9,30,googlenet,0.6383152709800821,255,-3.038763697590176,0.6679348357239573,0.7959319751740394,10
0,broccoli_cauli.jpg,9,30,googlenet,-1.4030443269836579,0,-2.607974689303754,0.592579753949074,0.9174620962564153,10
1,broccoli_cauli.jpg,9,30,googlenet,1.1527010500898214,0,-2.607974689303754,0.592579753949074,0.9174620962564153,10
2,broccoli_cauli.jpg,9,30,googlenet,-0.8123836972908696,0,-2.607974689303754,0.592579753949074,0.9174620962564153,10
3,broccoli_cauli.jpg,9,30,googlenet,1.8361428350232853,0,-2.607974689303754,0.592579753949074,0.9174620962564153,10
4,broccoli_cauli.jpg,9,30,googlenet,-0.08790872862429855,0,-2.607974689303754,0.592579753949074,0.9174620962564153,10
5,broccoli_cauli.jpg,9,30,googlenet,-0.23136702740701542,0,-2.607974689303754,0.592579753949074,0.9174620962564153,10
6,broccoli_cauli.jpg,9,30,googlenet,-1.128259452092014,0,-2.607974689303754,0.592579753949074,0.9174620962564153,10
7,broccoli_cauli.jpg,9,30,googlenet,1.8843401824840638,0,-2.607974689303754,0.592579753949074,0.9174620962564153,10
8,broccoli_cauli.jpg,9,30,googlenet,0.39935760400429954,0,-2.607974689303754,0.592579753949074,0.9174620962564153,10
0,broccoli_cauli.jpg,5,10,googlenet,-0.35956100673131786,median,-2.038344984253422,0.5568063889731295,0.7938192856305454,10
