,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
0,broccoli_cauli.jpg,5,10,resnet50,0.5179631300316065,mean,1.2833688356284139,0.7251729067415966,0.6063960508004668,10
1,broccoli_cauli.jpg,5,10,resnet50,2.0516354035394366,mean,1.2833688356284139,0.7251729067415966,0.6063960508004668,10
2,broccoli_cauli.jpg,5,10,resnet50,2.864949566514423,mean,1.2833688356284139,0.7251729067415966,0.6063960508004668,10
3,broccoli_cauli.jpg,5,10,resnet50,0.6057857822849206,mean,1.2833688356284139,0.7251729067415966,0.6063960508004668,10
4,broccoli_cauli.jpg,5,10,resnet50,0.7339980231395768,mean,1.2833688356284139,0.7251729067415966,0.6063960508004668,10
0,broccoli_cauli.jpg,5,10,resnet50,0.045872200926706574,255,1.0891500923074071,0.6784216292903483,0.6496751514994954,10
1,broccoli_cauli.jpg,5,10,resnet50,2.233848230117548,255,1.0891500923074071,0.6784216292903483,0.6496751514994954,10
2,broccoli_cauli.jpg,5,10,resnet50,2.6463121160120235,255,1.0891500923074071,0.6784216292903483,0.6496751514994954,10
3,broccoli_cauli.jpg,5,10,resnet50,1.253328926401352,255,1.0891500923074071,0.6784216292903483,0.6496751514994954,10
4,broccoli_cauli.jpg,5,10,resnet50,0.2409083914923803,255,1.0891500923074071,0.6784216292903483,0.6496751514994954,10
0,broccoli_cauli.jpg,5,10,resnet50,0.66154137834579,0,0.4022443714337669,0.6798337653325598,0.6281831738961526,10
1,broccoli_cauli.jpg,5,10,resnet50,1.7104113168769062,0,0.4022443714337669,0.6798337653325598,0.6281831738961526,10
2,broccoli_cauli.jpg,5,10,resnet50,3.039366127691223,0,0.4022443714337669,0.6798337653325598,0.6281831738961526,10
3,broccoli_cauli.jpg,5,10,resnet50,0.4230284658487224,0,0.4022443714337669,0.6798337653325598,0.6281831738961526,10
4,broccoli_cauli.jpg,5,10,resnet50,-0.05920100835009383,0,0.4022443714337669,0.6798337653325598,0.6281831738961526,10
0,broccoli_cauli.jpg,5,10,resnet50,0.6961221099297734,median,0.7351769512936199,0.6701684379739264,0.6492032268381398,10
1,broccoli_cauli.jpg,5,10,resnet50,1.5339642908373485,median,0.7351769512936199,0.6701684379739264,0.6492032268381398,10
2,broccoli_cauli.jpg,5,10,resnet50,3.1419675014412887,median,0.7351769512936199,0.6701684379739264,0.6492032268381398,10
3,broccoli_cauli.jpg,5,10,resnet50,0.4229351902102798,median,0.7351769512936199,0.6701684379739264,0.6492032268381398,10
4,broccoli_cauli.jpg,5,10,resnet50,-0.0914849098415797,median,0.7351769512936199,0.6701684379739264,0.6492032268381398,10
0,broccoli_cauli.jpg,9,30,resnet50,-1.0681757534195233,255,-0.10533276524834267,0.6074032205528768,0.8999232836014169,10
1,broccoli_cauli.jpg,9,30,resnet50,0.5457507443983336,255,-0.10533276524834267,0.6074032205528768,0.8999232836014169,10
2,broccoli_cauli.jpg,9,30,resnet50,-1.000955745768218,255,-0.10533276524834267,0.6074032205528768,0.8999232836014169,10
3,broccoli_cauli.jpg,9,30,resnet50,1.4656479287996478,255,-0.10533276524834267,0.6074032205528768,0.8999232836014169,10
4,broccoli_cauli.jpg,9,30,resnet50,-0.025209501019850478,255,-0.10533276524834267,0.6074032205528768,0.8999232836014169,10
5,broccoli_cauli.jpg,9,30,resnet50,1.598886745560939,255,-0.10533276524834267,0.6074032205528768,0.8999232836014169,10
6,broccoli_cauli.jpg,9,30,resnet50,-0.8571394938716727,255,-0.10533276524834267,0.6074032205528768,0.8999232836014169,10
7,broccoli_cauli.jpg,9,30,resnet50,2.596132545347929,255,-0.10533276524834267,0.6074032205528768,0.8999232836014169,10
8,broccoli_cauli.jpg,9,30,resnet50,0.9309424410612854,255,-0.10533276524834267,0.6074032205528768,0.8999232836014169,10
0,broccoli_cauli.jpg,9,30,resnet50,-1.1263221180436538,0,-0.10315749907279725,0.5709510300341256,0.9518294758188827,10
1,broccoli_cauli.jpg,9,30,resnet50,1.9192510110763368,0,-0.10315749907279725,0.5709510300341256,0.9518294758188827,10
2,broccoli_cauli.jpg,9,30,resnet50,-1.1624253522552193,0,-0.10315749907279725,0.5709510300341256,0.9518294758188827,10
3,broccoli_cauli.jpg,9,30,resnet50,1.6399309230546482,0,-0.10315749907279725,0.5709510300341256,0.9518294758188827,10
4,broccoli_cauli.jpg,9,30,resnet50,0.171393494673352,0,-0.10315749907279725,0.5709510300341256,0.9518294758188827,10
5,broccoli_cauli.jpg,9,30,resnet50,0.8505798039192733,0,-0.10315749907279725,0.5709510300341256,0.9518294758188827,10
6,broccoli_cauli.jpg,9,30,resnet50,-1.0511685251033167,0,-0.10315749907279725,0.5709510300341256,0.9518294758188827,10
7,broccoli_cauli.jpg,9,30,resnet50,2.2422559176331225,0,-0.10315749907279725,0.5709510300341256,0.9518294758188827,10
8,broccoli_cauli.jpg,9,30,resnet50,0.11606583525256076,0,-0.10315749907279725,0.5709510300341256,0.9518294758188827,10
0,broccoli_cauli.jpg,9,30,resnet50,-0.17399144641294462,mean,-0.3259969455292455,0.395993206155919,1.3598997551831564,10
1,broccoli_cauli.jpg,9,30,resnet50,1.3980301598198828,mean,-0.3259969455292455,0.395993206155919,1.3598997551831564,10
2,broccoli_cauli.jpg,9,30,resnet50,-0.5709960618127764,mean,-0.3259969455292455,0.395993206155919,1.3598997551831564,10
3,broccoli_cauli.jpg,9,30,resnet50,0.6956123106964616,mean,-0.3259969455292455,0.395993206155919,1.3598997551831564,10
4,broccoli_cauli.jpg,9,30,resnet50,-0.6323946123162613,mean,-0.3259969455292455,0.395993206155919,1.3598997551831564,10
5,broccoli_cauli.jpg,9,30,resnet50,-0.17091955581670248,mean,-0.3259969455292455,0.395993206155919,1.3598997551831564,10
6,broccoli_cauli.jpg,9,30,resnet50,-0.2742726460583413,mean,-0.3259969455292455,0.395993206155919,1.3598997551831564,10
7,broccoli_cauli.jpg,9,30,resnet50,1.7503699115902949,mean,-0.3259969455292455,0.395993206155919,1.3598997551831564,10
8,broccoli_cauli.jpg,9,30,resnet50,0.661323831241385,mean,-0.3259969455292455,0.395993206155919,1.3598997551831564,10
0,broccoli_cauli.jpg,9,50,resnet50,-1.6446170835606175,255,-0.2018869339040621,0.48018724098700116,1.1301386542756668,10
1,broccoli_cauli.jpg,9,50,resnet50,-0.45238098971600627,255,-0.2018869339040621,0.48018724098700116,1.1301386542756668,10
2,broccoli_cauli.jpg,9,50,resnet50,-0.7133316700255192,255,-0.2018869339040621,0.48018724098700116,1.1301386542756668,10
3,broccoli_cauli.jpg,9,50,resnet50,1.4510075962420834,255,-0.2018869339040621,0.48018724098700116,1.1301386542756668,10
4,broccoli_cauli.jpg,9,50,resnet50,0.32827625522653753,255,-0.2018869339040621,0.48018724098700116,1.1301386542756668,10
5,broccoli_cauli.jpg,9,50,resnet50,0.8025239682349544,255,-0.2018869339040621,0.48018724098700116,1.1301386542756668,10
6,broccoli_cauli.jpg,9,50,resnet50,1.0866968262927235,255,-0.2018869339040621,0.48018724098700116,1.1301386542756668,10
7,broccoli_cauli.jpg,9,50,resnet50,1.7226564745534274,255,-0.2018869339040621,0.48018724098700116,1.1301386542756668,10
8,broccoli_cauli.jpg,9,50,resnet50,0.3654292711600294,255,-0.2018869339040621,0.48018724098700116,1.1301386542756668,10
0,broccoli_cauli.jpg,9,30,resnet50,-0.2772226349942774,median,-0.28427998653117825,0.34930177718274585,1.5345683825052785,10
1,broccoli_cauli.jpg,9,30,resnet50,1.3940911409141035,median,-0.28427998653117825,0.34930177718274585,1.5345683825052785,10
