,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
0,broccoli_cauli.jpg,5,10,vgg16,-0.6012759872034044,mean,-2.4490068932604934,0.4950502918124134,0.8938624899318879,10
1,broccoli_cauli.jpg,5,10,vgg16,0.0958053549859649,mean,-2.4490068932604934,0.4950502918124134,0.8938624899318879,10
2,broccoli_cauli.jpg,5,10,vgg16,0.7682235587510786,mean,-2.4490068932604934,0.4950502918124134,0.8938624899318879,10
3,broccoli_cauli.jpg,5,10,vgg16,1.0850519882102123,mean,-2.4490068932604934,0.4950502918124134,0.8938624899318879,10
4,broccoli_cauli.jpg,5,10,vgg16,-0.7184227323066175,mean,-2.4490068932604934,0.4950502918124134,0.8938624899318879,10
0,broccoli_cauli.jpg,5,10,vgg16,-0.3005397452920706,255,-1.0329520845062872,0.8370352992338781,0.531245744544208,10
1,broccoli_cauli.jpg,5,10,vgg16,1.6417126835226998,255,-1.0329520845062872,0.8370352992338781,0.531245744544208,10
2,broccoli_cauli.jpg,5,10,vgg16,1.5677271246266788,255,-1.0329520845062872,0.8370352992338781,0.531245744544208,10
3,broccoli_cauli.jpg,5,10,vgg16,1.5727411629345953,255,-1.0329520845062872,0.8370352992338781,0.531245744544208,10
4,broccoli_cauli.jpg,5,10,vgg16,-0.13608245670601504,255,-1.0329520845062872,0.8370352992338781,0.531245744544208,10
0,broccoli_cauli.jpg,5,10,vgg16,0.1101529924268202,0,-1.5407866697430923,0.7969065905981834,0.5443917735256685,10
1,broccoli_cauli.jpg,5,10,vgg16,1.6212318401951258,0,-1.5407866697430923,0.7969065905981834,0.5443917735256685,10
2,broccoli_cauli.jpg,5,10,vgg16,1.2779323087976797,0,-1.5407866697430923,0.7969065905981834,0.5443917735256685,10
3,broccoli_cauli.jpg,5,10,vgg16,0.7266412041990897,0,-1.5407866697430923,0.7969065905981834,0.5443917735256685,10
4,broccoli_cauli.jpg,5,10,vgg16,-0.4569913528046938,0,-1.5407866697430923,0.7969065905981834,0.5443917735256685,10
0,broccoli_cauli.jpg,9,30,vgg16,-1.1191982953404944,0,-2.4187671750585693,0.7135397032558883,0.7671951350253929,10
1,broccoli_cauli.jpg,9,30,vgg16,-0.12434657326640619,0,-2.4187671750585693,0.7135397032558883,0.7671951350253929,10
2,broccoli_cauli.jpg,9,30,vgg16,-1.5265418331087242,0,-2.4187671750585693,0.7135397032558883,0.7671951350253929,10
3,broccoli_cauli.jpg,9,30,vgg16,0.8866615721175739,0,-2.4187671750585693,0.7135397032558883,0.7671951350253929,10
4,broccoli_cauli.jpg,9,30,vgg16,0.7320249967027428,0,-2.4187671750585693,0.7135397032558883,0.7671951350253929,10
5,broccoli_cauli.jpg,9,30,vgg16,0.5011100218587563,0,-2.4187671750585693,0.7135397032558883,0.7671951350253929,10
6,broccoli_cauli.jpg,9,30,vgg16,-1.9986033872143678,0,-2.4187671750585693,0.7135397032558883,0.7671951350253929,10
7,broccoli_cauli.jpg,9,30,vgg16,2.547730667160012,0,-2.4187671750585693,0.7135397032558883,0.7671951350253929,10
8,broccoli_cauli.jpg,9,30,vgg16,2.4647964229029737,0,-2.4187671750585693,0.7135397032558883,0.7671951350253929,10
0,broccoli_cauli.jpg,5,10,vgg16,-0.3533428431908414,median,-2.255118928554802,0.5044125692892728,0.84865956236249,10
1,broccoli_cauli.jpg,5,10,vgg16,-0.206403736646741,median,-2.255118928554802,0.5044125692892728,0.84865956236249,10
2,broccoli_cauli.jpg,5,10,vgg16,0.793563878686837,median,-2.255118928554802,0.5044125692892728,0.84865956236249,10
3,broccoli_cauli.jpg,5,10,vgg16,1.105300695390763,median,-2.255118928554802,0.5044125692892728,0.84865956236249,10
4,broccoli_cauli.jpg,5,10,vgg16,-0.26313517329131886,median,-2.255118928554802,0.5044125692892728,0.84865956236249,10
0,broccoli_cauli.jpg,9,30,vgg16,-0.7954991527366951,255,-2.7356342584176288,0.7653518049786283,0.7136163276153092,10
1,broccoli_cauli.jpg,9,30,vgg16,1.11235983176039,255,-2.7356342584176288,0.7653518049786283,0.7136163276153092,10
2,broccoli_cauli.jpg,9,30,vgg16,-2.7869826240952715,255,-2.7356342584176288,0.7653518049786283,0.7136163276153092,10
3,broccoli_cauli.jpg,9,30,vgg16,0.48142533119993947,255,-2.7356342584176288,0.7653518049786283,0.7136163276153092,10
4,broccoli_cauli.jpg,9,30,vgg16,0.11933073837073277,255,-2.7356342584176288,0.7653518049786283,0.7136163276153092,10
5,broccoli_cauli.jpg,9,30,vgg16,0.9467204959080054,255,-2.7356342584176288,0.7653518049786283,0.7136163276153092,10
6,broccoli_cauli.jpg,9,30,vgg16,-1.4191587317225969,255,-2.7356342584176288,0.7653518049786283,0.7136163276153092,10
7,broccoli_cauli.jpg,9,30,vgg16,3.5714315909307848,255,-2.7356342584176288,0.7653518049786283,0.7136163276153092,10
8,broccoli_cauli.jpg,9,30,vgg16,1.3239320798519385,255,-2.7356342584176288,0.7653518049786283,0.7136163276153092,10
0,broccoli_cauli.jpg,9,30,vgg16,-0.34413511045661344,mean,-2.6786925201070884,0.6514733866341554,0.8050768082108126,10
1,broccoli_cauli.jpg,9,30,vgg16,2.203842616912757,mean,-2.6786925201070884,0.6514733866341554,0.8050768082108126,10
2,broccoli_cauli.jpg,9,30,vgg16,-1.1835395202470258,mean,-2.6786925201070884,0.6514733866341554,0.8050768082108126,10
3,broccoli_cauli.jpg,9,30,vgg16,-0.6542014393873656,mean,-2.6786925201070884,0.6514733866341554,0.8050768082108126,10
4,broccoli_cauli.jpg,9,30,vgg16,-1.067313245798824,mean,-2.6786925201070884,0.6514733866341554,0.8050768082108126,10
5,broccoli_cauli.jpg,9,30,vgg16,0.1947946497548665,mean,-2.6786925201070884,0.6514733866341554,0.8050768082108126,10
6,broccoli_cauli.jpg,9,30,vgg16,-1.3751815877378226,mean,-2.6786925201070884,0.6514733866341554,0.8050768082108126,10
7,broccoli_cauli.jpg,9,30,vgg16,3.6772852958435434,mean,-2.6786925201070884,0.6514733866341554,0.8050768082108126,10
8,broccoli_cauli.jpg,9,30,vgg16,0.517405060745782,mean,-2.6786925201070884,0.6514733866341554,0.8050768082108126,10
0,broccoli_cauli.jpg,9,50,vgg16,-0.6845561204701798,255,-2.8208187542985663,0.49854148239755436,1.066718245183654,10
1,broccoli_cauli.jpg,9,50,vgg16,0.6697641301992575,255,-2.8208187542985663,0.49854148239755436,1.066718245183654,10
2,broccoli_cauli.jpg,9,50,vgg16,-1.3200563518701838,255,-2.8208187542985663,0.49854148239755436,1.066718245183654,10
3,broccoli_cauli.jpg,9,50,vgg16,0.2788644040026873,255,-2.8208187542985663,0.49854148239755436,1.066718245183654,10
4,broccoli_cauli.jpg,9,50,vgg16,-1.1053641031001014,255,-2.8208187542985663,0.49854148239755436,1.066718245183654,10
5,broccoli_cauli.jpg,9,50,vgg16,1.0436532362504287,255,-2.8208187542985663,0.49854148239755436,1.066718245183654,10
6,broccoli_cauli.jpg,9,50,vgg16,-0.5529343729413857,255,-2.8208187542985663,0.49854148239755436,1.066718245183654,10
7,broccoli_cauli.jpg,9,50,vgg16,2.3060367797325565,255,-2.8208187542985663,0.49854148239755436,1.066718245183654,10
8,broccoli_cauli.jpg,9,50,vgg16,0.32613031168552087,255,-2.8208187542985663,0.49854148239755436,1.066718245183654,10
0,broccoli_cauli.jpg,9,30,vgg16,-0.6647743663577265,median,-2.8718283081997384,0.5735412344277702,0.8430006438826004,10
1,broccoli_cauli.jpg,9,30,vgg16,1.8986934551797627,median,-2.8718283081997384,0.5735412344277702,0.8430006438826004,10
2,broccoli_cauli.jpg,9,30,vgg16,-1.3493846898808666,median,-2.8718283081997384,0.5735412344277702,0.8430006438826004,10
3,broccoli_cauli.jpg,9,30,vgg16,-0.5610948856749207,median,-2.8718283081997384,0.5735412344277702,0.8430006438826004,10
4,broccoli_cauli.jpg,9,30,vgg16,-1.353564494138313,median,-2.8718283081997384,0.5735412344277702,0.8430006438826004,10
5,broccoli_cauli.jpg,9,30,vgg16,0.2371904805273175,median,-2.8718283081997384,0.5735412344277702,0.8430006438826004,10
6,broccoli_cauli.jpg,9,30,vgg16,-1.2204365563014756,median,-2.8718283081997384,0.5735412344277702,0.8430006438826004,10
7,broccoli_cauli.jpg,9,30,vgg16,3.5859742048102707,median,-2.8718283081997384,0.5735412344277702,0.8430006438826004,10
8,broccoli_cauli.jpg,9,30,vgg16,0.8022011904943238,median,-2.8718283081997384,0.5735412344277702,0.8430006438826004,10
0,broccoli_cauli.jpg,9,50,vgg16,-2.1763384865075035,0,-2.555018152868752,0.5894965642037593,0.9153181450067954,10
1,broccoli_cauli.jpg,9,50,vgg16,0.5269003841113775,0,-2.555018152868752,0.5894965642037593,0.9153181450067954,10
2,broccoli_cauli.jpg,9,50,vgg16,-1.243299737762578,0,-2.555018152868752,0.5894965642037593,0.9153181450067954,10
3,broccoli_cauli.jpg,9,50,vgg16,1.9003874477311329,0,-2.555018152868752,0.5894965642037593,0.9153181450067954,10
4,broccoli_cauli.jpg,9,50,vgg16,-0.4618103556689376,0,-2.555018152868752,0.5894965642037593,0.9153181450067954,10
5,broccoli_cauli.jpg,9,50,vgg16,0.3759067293316998,0,-2.555018152868752,0.5894965642037593,0.9153181450067954,10
6,broccoli_cauli.jpg,9,50,vgg16,-1.6011020876589421,0,-2.555018152868752,0.5894965642037593,0.9153181450067954,10
7,broccoli_cauli.jpg,9,50,vgg16,2.222824151314948,0,-2.555018152868752,0.5894965642037593,0.9153181450067954,10
8,broccoli_cauli.jpg,9,50,vgg16,1.448182075382328,0,-2.555018152868752,0.5894965642037593,0.9153181450067954,10
0,broccoli_cauli.jpg,9,50,vgg16,-0.7884791344064217,median,-2.790643058628909,0.47614420051468903,1.1148342379531893,10
1,broccoli_cauli.jpg,9,50,vgg16,1.2407861167121086,median,-2.790643058628909,0.47614420051468903,1.1148342379531893,10
2,broccoli_cauli.jpg,9,50,vgg16,-0.8769671843895745,median,-2.790643058628909,0.47614420051468903,1.1148342379531893,10
3,broccoli_cauli.jpg,9,50,vgg16,0.24634536299309362,median,-2.790643058628909,0.47614420051468903,1.1148342379531893,10
4,broccoli_cauli.jpg,9,50,vgg16,-1.3779166939643228,median,-2.790643058628909,0.47614420051468903,1.1148342379531893,10
5,broccoli_cauli.jpg,9,50,vgg16,0.47103597781571016,median,-2.790643058628909,0.47614420051468903,1.1148342379531893,10
6,broccoli_cauli.jpg,9,50,vgg16,-0.8045557894317682,median,-2.790643058628909,0.47614420051468903,1.1148342379531893,10
7,broccoli_cauli.jpg,9,50,vgg16,2.385376310196689,median,-2.790643058628909,0.47614420051468903,1.1148342379531893,10
8,broccoli_cauli.jpg,9,50,vgg16,0.2311787694598747,median,-2.790643058628909,0.47614420051468903,1.1148342379531893,10
0,broccoli_cauli.jpg,9,50,vgg16,-1.029247191388411,mean,-2.811275794533543,0.5015672958696274,1.0846099684980974,10
1,broccoli_cauli.jpg,9,50,vgg16,1.2749460483154333,mean,-2.811275794533543,0.5015672958696274,1.0846099684980974,10
2,broccoli_cauli.jpg,9,50,vgg16,-1.3904536893485973,mean,-2.811275794533543,0.5015672958696274,1.0846099684980974,10
3,broccoli_cauli.jpg,9,50,vgg16,0.25747216364318626,mean,-2.811275794533543,0.5015672958696274,1.0846099684980974,10
4,broccoli_cauli.jpg,9,50,vgg16,-1.4538265350681532,mean,-2.811275794533543,0.5015672958696274,1.0846099684980974,10
5,broccoli_cauli.jpg,9,50,vgg16,0.6597034786781908,mean,-2.811275794533543,0.5015672958696274,1.0846099684980974,10
6,broccoli_cauli.jpg,9,50,vgg16,-0.3935257913846949,mean,-2.811275794533543,0.5015672958696274,1.0846099684980974,10
7,broccoli_cauli.jpg,9,50,vgg16,2.4763688341427046,mean,-2.811275794533543,0.5015672958696274,1.0846099684980974,10
8,broccoli_cauli.jpg,9,50,vgg16,0.25041597613411604,mean,-2.811275794533543,0.5015672958696274,1.0846099684980974,10
0,broccoli_cauli.jpg,9,100,vgg16,-0.6796377671718374,255,-3.0929134387452732,0.5599410143623467,0.9692725214139765,10
1,broccoli_cauli.jpg,9,100,vgg16,0.03548688613572981,255,-3.0929134387452732,0.5599410143623467,0.9692725214139765,10
2,broccoli_cauli.jpg,9,100,vgg16,-0.4268280363587777,255,-3.0929134387452732,0.5599410143623467,0.9692725214139765,10
3,broccoli_cauli.jpg,9,100,vgg16,0.14863393690457083,255,-3.0929134387452732,0.5599410143623467,0.9692725214139765,10
4,broccoli_cauli.jpg,9,100,vgg16,1.0222610339060008,255,-3.0929134387452732,0.5599410143623467,0.9692725214139765,10
5,broccoli_cauli.jpg,9,100,vgg16,-0.035094761481644365,255,-3.0929134387452732,0.5599410143623467,0.9692725214139765,10
6,broccoli_cauli.jpg,9,100,vgg16,-0.41597220247167876,255,-3.0929134387452732,0.5599410143623467,0.9692725214139765,10
7,broccoli_cauli.jpg,9,100,vgg16,2.557156813767772,255,-3.0929134387452732,0.5599410143623467,0.9692725214139765,10
8,broccoli_cauli.jpg,9,100,vgg16,-0.37966965711515793,255,-3.0929134387452732,0.5599410143623467,0.9692725214139765,10
0,broccoli_cauli.jpg,9,100,vgg16,-1.4388215625104637,0,-2.939340725594071,0.4449321948488567,1.207206403541786,10
1,broccoli_cauli.jpg,9,100,vgg16,-0.10801038411883934,0,-2.939340725594071,0.4449321948488567,1.207206403541786,10
2,broccoli_cauli.jpg,9,100,vgg16,-1.226695146856786,0,-2.939340725594071,0.4449321948488567,1.207206403541786,10
3,broccoli_cauli.jpg,9,100,vgg16,1.133880257592234,0,-2.939340725594071,0.4449321948488567,1.207206403541786,10
4,broccoli_cauli.jpg,9,100,vgg16,0.9768769341265119,0,-2.939340725594071,0.4449321948488567,1.207206403541786,10
