,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
0,broccoli_cauli.jpg,5,10,visiontransformer,-0.21749220985686096,mean,2.0131130477380763,0.6724039686920483,0.6350436277126669,10
1,broccoli_cauli.jpg,5,10,visiontransformer,2.476465460417893,mean,2.0131130477380763,0.6724039686920483,0.6350436277126669,10
2,broccoli_cauli.jpg,5,10,visiontransformer,4.330219948872067,mean,2.0131130477380763,0.6724039686920483,0.6350436277126669,10
3,broccoli_cauli.jpg,5,10,visiontransformer,0.6434974032372468,mean,2.0131130477380763,0.6724039686920483,0.6350436277126669,10
4,broccoli_cauli.jpg,5,10,visiontransformer,-1.0041318177335712,mean,2.0131130477380763,0.6724039686920483,0.6350436277126669,10
0,broccoli_cauli.jpg,5,10,visiontransformer,-0.004224040840419163,255,2.2810499429995,0.7976434463611541,0.5371051902271916,10
1,broccoli_cauli.jpg,5,10,visiontransformer,2.170287644104177,255,2.2810499429995,0.7976434463611541,0.5371051902271916,10
2,broccoli_cauli.jpg,5,10,visiontransformer,6.235406178460693,255,2.2810499429995,0.7976434463611541,0.5371051902271916,10
3,broccoli_cauli.jpg,5,10,visiontransformer,0.4073176377852228,255,2.2810499429995,0.7976434463611541,0.5371051902271916,10
4,broccoli_cauli.jpg,5,10,visiontransformer,-0.2635087099865417,255,2.2810499429995,0.7976434463611541,0.5371051902271916,10
0,broccoli_cauli.jpg,5,10,visiontransformer,-0.10940284000104095,0,2.249866855337501,0.753210692583692,0.5889956484674278,10
1,broccoli_cauli.jpg,5,10,visiontransformer,2.5241650118191368,0,2.249866855337501,0.753210692583692,0.5889956484674278,10
2,broccoli_cauli.jpg,5,10,visiontransformer,5.2603001775420175,0,2.249866855337501,0.753210692583692,0.5889956484674278,10
3,broccoli_cauli.jpg,5,10,visiontransformer,0.4884503441816059,0,2.249866855337501,0.753210692583692,0.5889956484674278,10
4,broccoli_cauli.jpg,5,10,visiontransformer,-0.5309354803246883,0,2.249866855337501,0.753210692583692,0.5889956484674278,10
0,broccoli_cauli.jpg,9,30,visiontransformer,-0.9251815783630897,255,1.7207001147101035,0.7463026275019675,0.7278763534938718,10
1,broccoli_cauli.jpg,9,30,visiontransformer,0.7434543888159277,255,1.7207001147101035,0.7463026275019675,0.7278763534938718,10
2,broccoli_cauli.jpg,9,30,visiontransformer,-1.4961993537362401,255,1.7207001147101035,0.7463026275019675,0.7278763534938718,10
3,broccoli_cauli.jpg,9,30,visiontransformer,2.885235415921602,255,1.7207001147101035,0.7463026275019675,0.7278763534938718,10
