,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
0,broccoli_cauli.jpg,5,10,alexnet,-0.013305552832773054,255,0.18391478369213338,0.03528891873259017,11.902992236934839,10
1,broccoli_cauli.jpg,5,10,alexnet,0.010282397270330628,255,0.18391478369213338,0.03528891873259017,11.902992236934839,10
2,broccoli_cauli.jpg,5,10,alexnet,0.25714990750853417,255,0.18391478369213338,0.03528891873259017,11.902992236934839,10
3,broccoli_cauli.jpg,5,10,alexnet,-0.09585616018659673,255,0.18391478369213338,0.03528891873259017,11.902992236934839,10
4,broccoli_cauli.jpg,5,10,alexnet,-0.005120713220150339,255,0.18391478369213338,0.03528891873259017,11.902992236934839,10
0,broccoli_cauli.jpg,5,10,alexnet,-0.05113060271309968,0,0.165475652909248,0.024209308096139998,17.285908495082893,10
1,broccoli_cauli.jpg,5,10,alexnet,0.013868332810600003,0,0.165475652909248,0.024209308096139998,17.285908495082893,10
2,broccoli_cauli.jpg,5,10,alexnet,0.16181405371370344,0,0.165475652909248,0.024209308096139998,17.285908495082893,10
3,broccoli_cauli.jpg,5,10,alexnet,-0.014090794959518009,0,0.165475652909248,0.024209308096139998,17.285908495082893,10
4,broccoli_cauli.jpg,5,10,alexnet,0.03344795085578298,0,0.165475652909248,0.024209308096139998,17.285908495082893,10
0,broccoli_cauli.jpg,5,10,alexnet,-0.02907139164330524,mean,0.21238040754907805,0.04373979861141288,9.565640421299005,10
1,broccoli_cauli.jpg,5,10,alexnet,-0.08157178309054111,mean,0.21238040754907805,0.04373979861141288,9.565640421299005,10
2,broccoli_cauli.jpg,5,10,alexnet,0.35876285355735726,mean,0.21238040754907805,0.04373979861141288,9.565640421299005,10
3,broccoli_cauli.jpg,5,10,alexnet,-0.09692997907668749,mean,0.21238040754907805,0.04373979861141288,9.565640421299005,10
4,broccoli_cauli.jpg,5,10,alexnet,-0.03585522745001371,mean,0.21238040754907805,0.04373979861141288,9.565640421299005,10
0,broccoli_cauli.jpg,9,30,alexnet,-0.0361139191473743,0,0.17767842884574908,0.012584021487131239,40.17961155265842,10
1,broccoli_cauli.jpg,9,30,alexnet,0.03628054662770279,0,0.17767842884574908,0.012584021487131239,40.17961155265842,10
2,broccoli_cauli.jpg,9,30,alexnet,-0.014777271985819518,0,0.17767842884574908,0.012584021487131239,40.17961155265842,10
3,broccoli_cauli.jpg,9,30,alexnet,0.035086172753211485,0,0.17767842884574908,0.012584021487131239,40.17961155265842,10
4,broccoli_cauli.jpg,9,30,alexnet,-0.010546092530882343,0,0.17767842884574908,0.012584021487131239,40.17961155265842,10
5,broccoli_cauli.jpg,9,30,alexnet,0.03828486346573054,0,0.17767842884574908,0.012584021487131239,40.17961155265842,10
6,broccoli_cauli.jpg,9,30,alexnet,0.03262176861453462,0,0.17767842884574908,0.012584021487131239,40.17961155265842,10
7,broccoli_cauli.jpg,9,30,alexnet,0.08617116324878141,0,0.17767842884574908,0.012584021487131239,40.17961155265842,10
8,broccoli_cauli.jpg,9,30,alexnet,0.016092879463654793,0,0.17767842884574908,0.012584021487131239,40.17961155265842,10
0,broccoli_cauli.jpg,5,10,alexnet,-0.0055961593881305,median,0.2339096300444593,0.043491365335804937,9.690706210802709,10
1,broccoli_cauli.jpg,5,10,alexnet,-0.05914488305265575,median,0.2339096300444593,0.043491365335804937,9.690706210802709,10
2,broccoli_cauli.jpg,5,10,alexnet,0.36010521729239797,median,0.2339096300444593,0.043491365335804937,9.690706210802709,10
3,broccoli_cauli.jpg,5,10,alexnet,-0.08554648075017468,median,0.2339096300444593,0.043491365335804937,9.690706210802709,10
4,broccoli_cauli.jpg,5,10,alexnet,-0.03610249836401104,median,0.2339096300444593,0.043491365335804937,9.690706210802709,10
0,broccoli_cauli.jpg,9,30,alexnet,-0.002368573770200888,255,0.17859264725973698,0.013149575205260765,40.73458908103098,10
1,broccoli_cauli.jpg,9,30,alexnet,0.018023116498114222,255,0.17859264725973698,0.013149575205260765,40.73458908103098,10
2,broccoli_cauli.jpg,9,30,alexnet,-0.008427740680835374,255,0.17859264725973698,0.013149575205260765,40.73458908103098,10
3,broccoli_cauli.jpg,9,30,alexnet,0.05102130178830533,255,0.17859264725973698,0.013149575205260765,40.73458908103098,10
