,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
0,broccoli_cauli.jpg,5,10,googlenet,0.01359733007949573,0,0.203181957715548,0.06859153036806395,6.130295194884253,10
1,broccoli_cauli.jpg,5,10,googlenet,0.06069136754730506,0,0.203181957715548,0.06859153036806395,6.130295194884253,10
2,broccoli_cauli.jpg,5,10,googlenet,0.15880974032071063,0,0.203181957715548,0.06859153036806395,6.130295194884253,10
3,broccoli_cauli.jpg,5,10,googlenet,-0.17183523431215075,0,0.203181957715548,0.06859153036806395,6.130295194884253,10
4,broccoli_cauli.jpg,5,10,googlenet,-0.021663581588723946,0,0.203181957715548,0.06859153036806395,6.130295194884253,10
0,broccoli_cauli.jpg,5,10,googlenet,-0.01574373949964869,255,0.06672454776718081,0.024206933281417358,17.062416001120894,10
1,broccoli_cauli.jpg,5,10,googlenet,0.052584561386696385,255,0.06672454776718081,0.024206933281417358,17.062416001120894,10
2,broccoli_cauli.jpg,5,10,googlenet,0.05178285292915499,255,0.06672454776718081,0.024206933281417358,17.062416001120894,10
3,broccoli_cauli.jpg,5,10,googlenet,-0.0747317640032456,255,0.06672454776718081,0.024206933281417358,17.062416001120894,10
4,broccoli_cauli.jpg,5,10,googlenet,0.011181348825664253,255,0.06672454776718081,0.024206933281417358,17.062416001120894,10
0,broccoli_cauli.jpg,5,10,googlenet,-0.010740910632988841,mean,0.05229073106479219,0.014373981366438105,29.12872828011616,10
1,broccoli_cauli.jpg,5,10,googlenet,0.027938096099849062,mean,0.05229073106479219,0.014373981366438105,29.12872828011616,10
2,broccoli_cauli.jpg,5,10,googlenet,0.05172432770104329,mean,0.05229073106479219,0.014373981366438105,29.12872828011616,10
3,broccoli_cauli.jpg,5,10,googlenet,-0.048385284363171556,mean,0.05229073106479219,0.014373981366438105,29.12872828011616,10
4,broccoli_cauli.jpg,5,10,googlenet,-0.01514072394660763,mean,0.05229073106479219,0.014373981366438105,29.12872828011616,10
0,broccoli_cauli.jpg,5,10,googlenet,-0.008062485147329195,median,0.06265460459987751,0.014045092243964916,29.988424688058966,10
1,broccoli_cauli.jpg,5,10,googlenet,0.04860256704340713,median,0.06265460459987751,0.014045092243964916,29.988424688058966,10
2,broccoli_cauli.jpg,5,10,googlenet,0.03815178049864469,median,0.06265460459987751,0.014045092243964916,29.988424688058966,10
