,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
0,broccoli_cauli.jpg,5,10,vgg16,0.003968212038691294,255,0.08617199336140469,0.023459797145732653,17.712825612520906,10
1,broccoli_cauli.jpg,5,10,vgg16,-0.01702997620600618,255,0.08617199336140469,0.023459797145732653,17.712825612520906,10
2,broccoli_cauli.jpg,5,10,vgg16,0.05286048630015532,255,0.08617199336140469,0.023459797145732653,17.712825612520906,10
3,broccoli_cauli.jpg,5,10,vgg16,0.004434139393424197,255,0.08617199336140469,0.023459797145732653,17.712825612520906,10
4,broccoli_cauli.jpg,5,10,vgg16,0.007817834587613308,255,0.08617199336140469,0.023459797145732653,17.712825612520906,10
0,broccoli_cauli.jpg,5,10,vgg16,0.0033236777283148188,0,0.09939654805505269,0.03542996302010628,11.700148214112875,10
1,broccoli_cauli.jpg,5,10,vgg16,0.01797306022341566,0,0.09939654805505269,0.03542996302010628,11.700148214112875,10
2,broccoli_cauli.jpg,5,10,vgg16,0.01872654976134193,0,0.09939654805505269,0.03542996302010628,11.700148214112875,10
3,broccoli_cauli.jpg,5,10,vgg16,-0.0002506685147683134,0,0.09939654805505269,0.03542996302010628,11.700148214112875,10
4,broccoli_cauli.jpg,5,10,vgg16,-0.0015247849689640335,0,0.09939654805505269,0.03542996302010628,11.700148214112875,10
0,broccoli_cauli.jpg,5,10,vgg16,0.00722183135361842,mean,0.11378241943458448,0.02984980466394985,14.113458411345622,10
1,broccoli_cauli.jpg,5,10,vgg16,-0.013390398464442569,mean,0.11378241943458448,0.02984980466394985,14.113458411345622,10
2,broccoli_cauli.jpg,5,10,vgg16,0.029092291445391702,mean,0.11378241943458448,0.02984980466394985,14.113458411345622,10
3,broccoli_cauli.jpg,5,10,vgg16,0.054333675702070997,mean,0.11378241943458448,0.02984980466394985,14.113458411345622,10
4,broccoli_cauli.jpg,5,10,vgg16,-0.00992598547175322,mean,0.11378241943458448,0.02984980466394985,14.113458411345622,10
0,broccoli_cauli.jpg,9,30,vgg16,-0.02129852601819084,255,0.06135762036604574,0.02668191894772529,19.04169889865065,10
1,broccoli_cauli.jpg,9,30,vgg16,0.03792482443690972,255,0.06135762036604574,0.02668191894772529,19.04169889865065,10
2,broccoli_cauli.jpg,9,30,vgg16,-0.042671778724641785,255,0.06135762036604574,0.02668191894772529,19.04169889865065,10
3,broccoli_cauli.jpg,9,30,vgg16,-0.08590850959964536,255,0.06135762036604574,0.02668191894772529,19.04169889865065,10
4,broccoli_cauli.jpg,9,30,vgg16,-0.055608654070825825,255,0.06135762036604574,0.02668191894772529,19.04169889865065,10
5,broccoli_cauli.jpg,9,30,vgg16,-0.017699287729262193,255,0.06135762036604574,0.02668191894772529,19.04169889865065,10
6,broccoli_cauli.jpg,9,30,vgg16,-0.030763745656214106,255,0.06135762036604574,0.02668191894772529,19.04169889865065,10
7,broccoli_cauli.jpg,9,30,vgg16,0.20458837230220683,255,0.06135762036604574,0.02668191894772529,19.04169889865065,10
8,broccoli_cauli.jpg,9,30,vgg16,-0.012780625667949895,255,0.06135762036604574,0.02668191894772529,19.04169889865065,10
0,broccoli_cauli.jpg,5,10,vgg16,0.0017425564904784314,median,0.08862470493204183,0.030203585105538885,13.752790263669352,10
1,broccoli_cauli.jpg,5,10,vgg16,-0.025502734149114657,median,0.08862470493204183,0.030203585105538885,13.752790263669352,10
2,broccoli_cauli.jpg,5,10,vgg16,0.027059594449783782,median,0.08862470493204183,0.030203585105538885,13.752790263669352,10
3,broccoli_cauli.jpg,5,10,vgg16,0.060749525543849464,median,0.08862470493204183,0.030203585105538885,13.752790263669352,10
4,broccoli_cauli.jpg,5,10,vgg16,-0.02457577165556872,median,0.08862470493204183,0.030203585105538885,13.752790263669352,10
0,broccoli_cauli.jpg,9,30,vgg16,-0.054446731026665404,0,0.0907943392634864,0.028514429055745742,18.508921747867042,10
1,broccoli_cauli.jpg,9,30,vgg16,0.010272228409657714,0,0.0907943392634864,0.028514429055745742,18.508921747867042,10
2,broccoli_cauli.jpg,9,30,vgg16,-0.06257678670160313,0,0.0907943392634864,0.028514429055745742,18.508921747867042,10
3,broccoli_cauli.jpg,9,30,vgg16,-0.038012971238010625,0,0.0907943392634864,0.028514429055745742,18.508921747867042,10
4,broccoli_cauli.jpg,9,30,vgg16,-0.051380846961428535,0,0.0907943392634864,0.028514429055745742,18.508921747867042,10
5,broccoli_cauli.jpg,9,30,vgg16,0.006100905069410231,0,0.0907943392634864,0.028514429055745742,18.508921747867042,10
6,broccoli_cauli.jpg,9,30,vgg16,-0.07490042694780706,0,0.0907943392634864,0.028514429055745742,18.508921747867042,10
7,broccoli_cauli.jpg,9,30,vgg16,0.12730373153087435,0,0.0907943392634864,0.028514429055745742,18.508921747867042,10
