,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
0,broccoli_cauli.jpg,5,10,visiontransformer,0.004358570984755103,0,0.8105767446623592,0.05645572965856509,7.471577330912086,10
1,broccoli_cauli.jpg,5,10,visiontransformer,0.12836704979322824,0,0.8105767446623592,0.05645572965856509,7.471577330912086,10
2,broccoli_cauli.jpg,5,10,visiontransformer,0.7128046863866089,0,0.8105767446623592,0.05645572965856509,7.471577330912086,10
3,broccoli_cauli.jpg,5,10,visiontransformer,-0.057694135936549595,0,0.8105767446623592,0.05645572965856509,7.471577330912086,10
4,broccoli_cauli.jpg,5,10,visiontransformer,0.005043801657351847,0,0.8105767446623592,0.05645572965856509,7.471577330912086,10
0,broccoli_cauli.jpg,5,10,visiontransformer,0.015539543044416418,255,0.8100147805313131,0.056538276057633015,7.402085968529189,10
1,broccoli_cauli.jpg,5,10,visiontransformer,0.10480543042290923,255,0.8100147805313131,0.056538276057633015,7.402085968529189,10
2,broccoli_cauli.jpg,5,10,visiontransformer,0.7284715161086344,255,0.8100147805313131,0.056538276057633015,7.402085968529189,10
3,broccoli_cauli.jpg,5,10,visiontransformer,-0.05043102845401315,255,0.8100147805313131,0.056538276057633015,7.402085968529189,10
4,broccoli_cauli.jpg,5,10,visiontransformer,0.008898919939018125,255,0.8100147805313131,0.056538276057633015,7.402085968529189,10
0,broccoli_cauli.jpg,5,10,visiontransformer,0.011158620597938075,mean,0.8607676530514935,0.053111633125061126,7.913930259661459,10
1,broccoli_cauli.jpg,5,10,visiontransformer,0.1799333249900828,mean,0.8607676530514935,0.053111633125061126,7.913930259661459,10
2,broccoli_cauli.jpg,5,10,visiontransformer,0.624051615574474,mean,0.8607676530514935,0.053111633125061126,7.913930259661459,10
3,broccoli_cauli.jpg,5,10,visiontransformer,0.02096217440734266,mean,0.8607676530514935,0.053111633125061126,7.913930259661459,10
4,broccoli_cauli.jpg,5,10,visiontransformer,-0.016108382079097636,mean,0.8607676530514935,0.053111633125061126,7.913930259661459,10
0,broccoli_cauli.jpg,5,10,visiontransformer,0.028684343975450062,median,0.8671554356168206,0.05364477752780177,7.85148249313474,10
1,broccoli_cauli.jpg,5,10,visiontransformer,0.14067177154417232,median,0.8671554356168206,0.05364477752780177,7.85148249313474,10
2,broccoli_cauli.jpg,5,10,visiontransformer,0.6402050331367525,median,0.8671554356168206,0.05364477752780177,7.85148249313474,10
3,broccoli_cauli.jpg,5,10,visiontransformer,0.002978521417000654,median,0.8671554356168206,0.05364477752780177,7.85148249313474,10
4,broccoli_cauli.jpg,5,10,visiontransformer,-0.013182392315005221,median,0.8671554356168206,0.05364477752780177,7.85148249313474,10
0,broccoli_cauli.jpg,9,30,visiontransformer,-0.04990111092637582,0,0.802286561487139,0.05899216893910406,9.102942440208059,10
1,broccoli_cauli.jpg,9,30,visiontransformer,0.1412912790016574,0,0.802286561487139,0.05899216893910406,9.102942440208059,10
2,broccoli_cauli.jpg,9,30,visiontransformer,-0.032780475420641664,0,0.802286561487139,0.05899216893910406,9.102942440208059,10
3,broccoli_cauli.jpg,9,30,visiontransformer,0.3234803673505634,0,0.802286561487139,0.05899216893910406,9.102942440208059,10
4,broccoli_cauli.jpg,9,30,visiontransformer,-0.009545127819111071,0,0.802286561487139,0.05899216893910406,9.102942440208059,10
5,broccoli_cauli.jpg,9,30,visiontransformer,0.07971137862580115,0,0.802286561487139,0.05899216893910406,9.102942440208059,10
6,broccoli_cauli.jpg,9,30,visiontransformer,-0.07442678659628427,0,0.802286561487139,0.05899216893910406,9.102942440208059,10
7,broccoli_cauli.jpg,9,30,visiontransformer,0.4368518408143274,0,0.802286561487139,0.05899216893910406,9.102942440208059,10
8,broccoli_cauli.jpg,9,30,visiontransformer,-0.07846942958754018,0,0.802286561487139,0.05899216893910406,9.102942440208059,10
0,broccoli_cauli.jpg,9,30,visiontransformer,0.009270010695171749,255,0.8248377840667507,0.053555744640912534,9.763251783104916,10
1,broccoli_cauli.jpg,9,30,visiontransformer,0.108191884050577,255,0.8248377840667507,0.053555744640912534,9.763251783104916,10
2,broccoli_cauli.jpg,9,30,visiontransformer,-0.04358454837034891,255,0.8248377840667507,0.053555744640912534,9.763251783104916,10
3,broccoli_cauli.jpg,9,30,visiontransformer,0.23737300575507042,255,0.8248377840667507,0.053555744640912534,9.763251783104916,10
4,broccoli_cauli.jpg,9,30,visiontransformer,0.015497213712107799,255,0.8248377840667507,0.053555744640912534,9.763251783104916,10
5,broccoli_cauli.jpg,9,30,visiontransformer,0.13988478951583322,255,0.8248377840667507,0.053555744640912534,9.763251783104916,10
6,broccoli_cauli.jpg,9,30,visiontransformer,-0.0456006267846829,255,0.8248377840667507,0.053555744640912534,9.763251783104916,10
7,broccoli_cauli.jpg,9,30,visiontransformer,0.44799883476977076,255,0.8248377840667507,0.053555744640912534,9.763251783104916,10
8,broccoli_cauli.jpg,9,30,visiontransformer,-0.051585118856774546,255,0.8248377840667507,0.053555744640912534,9.763251783104916,10
0,broccoli_cauli.jpg,9,30,visiontransformer,0.030613170994348425,mean,0.8783934556017392,0.04856861885886614,10.570331474927489,10
1,broccoli_cauli.jpg,9,30,visiontransformer,0.1644938882841335,mean,0.8783934556017392,0.04856861885886614,10.570331474927489,10
2,broccoli_cauli.jpg,9,30,visiontransformer,-0.038957669555407554,mean,0.8783934556017392,0.04856861885886614,10.570331474927489,10
3,broccoli_cauli.jpg,9,30,visiontransformer,0.20931503837768672,mean,0.8783934556017392,0.04856861885886614,10.570331474927489,10
