,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term
0,Llama.png,6,10,alexnet,2.8388880223298685,0,9.905181561224143,1.2971270184583659,0.3456724785991838
1,Llama.png,6,10,alexnet,0.4251004916926835,0,9.905181561224143,1.2971270184583659,0.3456724785991838
2,Llama.png,6,10,alexnet,2.4358038370069783,0,9.905181561224143,1.2971270184583659,0.3456724785991838
3,Llama.png,6,10,alexnet,11.355821827929326,0,9.905181561224143,1.2971270184583659,0.3456724785991838
4,Llama.png,6,10,alexnet,1.902870781200889,0,9.905181561224143,1.2971270184583659,0.3456724785991838
5,Llama.png,6,10,alexnet,1.4369067066297723,0,9.905181561224143,1.2971270184583659,0.3456724785991838
0,Llama.png,6,10,alexnet,1.892244732246654,mean,10.79528406421251,1.7878598137909194,0.26856864442905265
1,Llama.png,6,10,alexnet,1.225713711727965,mean,10.79528406421251,1.7878598137909194,0.26856864442905265
2,Llama.png,6,10,alexnet,1.0542689619190089,mean,10.79528406421251,1.7878598137909194,0.26856864442905265
3,Llama.png,6,10,alexnet,16.246426682528075,mean,10.79528406421251,1.7878598137909194,0.26856864442905265
4,Llama.png,6,10,alexnet,2.2303325144790582,mean,10.79528406421251,1.7878598137909194,0.26856864442905265
5,Llama.png,6,10,alexnet,0.7934501906931126,mean,10.79528406421251,1.7878598137909194,0.26856864442905265
0,Llama.png,9,30,alexnet,0.7447187937020917,0,9.913499688077973,1.1500517227306444,0.46848953151240363
1,Llama.png,9,30,alexnet,1.8369067114386666,0,9.913499688077973,1.1500517227306444,0.46848953151240363
2,Llama.png,9,30,alexnet,0.8879733982928988,0,9.913499688077973,1.1500517227306444,0.46848953151240363
3,Llama.png,9,30,alexnet,4.686076184617358,0,9.913499688077973,1.1500517227306444,0.46848953151240363
4,Llama.png,9,30,alexnet,1.3039465650156044,0,9.913499688077973,1.1500517227306444,0.46848953151240363
5,Llama.png,9,30,alexnet,0.8877990286729216,0,9.913499688077973,1.1500517227306444,0.46848953151240363
6,Llama.png,9,30,alexnet,4.5427817802096495,0,9.913499688077973,1.1500517227306444,0.46848953151240363
7,Llama.png,9,30,alexnet,3.0422490512045854,0,9.913499688077973,1.1500517227306444,0.46848953151240363
8,Llama.png,9,30,alexnet,0.9889099234021188,0,9.913499688077973,1.1500517227306444,0.46848953151240363
