,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term
0,Llama.png,6,10,resnet50,2.6265555687674444,0,0.5791052523053875,0.6862442205796625,0.6870286208847773
1,Llama.png,6,10,resnet50,0.7025175056032209,0,0.5791052523053875,0.6862442205796625,0.6870286208847773
2,Llama.png,6,10,resnet50,-0.7777014355173966,0,0.5791052523053875,0.6862442205796625,0.6870286208847773
3,Llama.png,6,10,resnet50,2.4660738678257847,0,0.5791052523053875,0.6862442205796625,0.6870286208847773
4,Llama.png,6,10,resnet50,0.4578989950742599,0,0.5791052523053875,0.6862442205796625,0.6870286208847773
5,Llama.png,6,10,resnet50,0.673443710792522,0,0.5791052523053875,0.6862442205796625,0.6870286208847773
0,Llama.png,9,30,resnet50,-0.08599268075952388,0,-0.6963842766027053,0.5509206654183146,0.9673734954057858
1,Llama.png,9,30,resnet50,-0.21140943406948454,0,-0.6963842766027053,0.5509206654183146,0.9673734954057858
2,Llama.png,9,30,resnet50,-0.2210409467433,0,-0.6963842766027053,0.5509206654183146,0.9673734954057858
3,Llama.png,9,30,resnet50,2.60059164531491,0,-0.6963842766027053,0.5509206654183146,0.9673734954057858
4,Llama.png,9,30,resnet50,-0.45052389817884314,0,-0.6963842766027053,0.5509206654183146,0.9673734954057858
5,Llama.png,9,30,resnet50,-0.23570892749709205,0,-0.6963842766027053,0.5509206654183146,0.9673734954057858
6,Llama.png,9,30,resnet50,1.4916697357193756,0,-0.6963842766027053,0.5509206654183146,0.9673734954057858
7,Llama.png,9,30,resnet50,1.3687980597586726,0,-0.6963842766027053,0.5509206654183146,0.9673734954057858
8,Llama.png,9,30,resnet50,-0.8343712570656325,0,-0.6963842766027053,0.5509206654183146,0.9673734954057858
0,Llama.png,6,10,resnet50,2.099658894772869,mean,0.12807462000157877,0.69238531713458,0.6342818180880847
1,Llama.png,6,10,resnet50,0.38196247903132546,mean,0.12807462000157877,0.69238531713458,0.6342818180880847
2,Llama.png,6,10,resnet50,0.45271543630540356,mean,0.12807462000157877,0.69238531713458,0.6342818180880847
3,Llama.png,6,10,resnet50,2.865187112170427,mean,0.12807462000157877,0.69238531713458,0.6342818180880847
4,Llama.png,6,10,resnet50,0.40664990252989963,mean,0.12807462000157877,0.69238531713458,0.6342818180880847
5,Llama.png,6,10,resnet50,0.09384737496312746,mean,0.12807462000157877,0.69238531713458,0.6342818180880847
0,Llama.png,9,50,resnet50,0.3577301896746452,0,-0.6015873195488832,0.5043897859460795,1.0676002682113006
1,Llama.png,9,50,resnet50,0.3525384660749946,0,-0.6015873195488832,0.5043897859460795,1.0676002682113006
2,Llama.png,9,50,resnet50,-0.7656385199062578,0,-0.6015873195488832,0.5043897859460795,1.0676002682113006
3,Llama.png,9,50,resnet50,2.3152889763391697,0,-0.6015873195488832,0.5043897859460795,1.0676002682113006
4,Llama.png,9,50,resnet50,-0.5255875053260671,0,-0.6015873195488832,0.5043897859460795,1.0676002682113006
5,Llama.png,9,50,resnet50,-0.5333261865781271,0,-0.6015873195488832,0.5043897859460795,1.0676002682113006
6,Llama.png,9,50,resnet50,1.488324548859183,0,-0.6015873195488832,0.5043897859460795,1.0676002682113006
7,Llama.png,9,50,resnet50,0.4184923514397133,0,-0.6015873195488832,0.5043897859460795,1.0676002682113006
8,Llama.png,9,50,resnet50,0.07415727189525811,0,-0.6015873195488832,0.5043897859460795,1.0676002682113006
0,Llama.png,9,30,resnet50,0.8332551934722443,mean,-0.630478072721206,0.5321820254353035,1.0299149157716487
1,Llama.png,9,30,resnet50,-0.5778012768778462,mean,-0.630478072721206,0.5321820254353035,1.0299149157716487
2,Llama.png,9,30,resnet50,-0.43480804046102234,mean,-0.630478072721206,0.5321820254353035,1.0299149157716487
3,Llama.png,9,30,resnet50,2.3924549661385703,mean,-0.630478072721206,0.5321820254353035,1.0299149157716487
4,Llama.png,9,30,resnet50,-0.13031559339366872,mean,-0.630478072721206,0.5321820254353035,1.0299149157716487
5,Llama.png,9,30,resnet50,0.07160643973335623,mean,-0.630478072721206,0.5321820254353035,1.0299149157716487
6,Llama.png,9,30,resnet50,0.5870804282308691,mean,-0.630478072721206,0.5321820254353035,1.0299149157716487
7,Llama.png,9,30,resnet50,1.3563977886774568,mean,-0.630478072721206,0.5321820254353035,1.0299149157716487
8,Llama.png,9,30,resnet50,-0.7343644133590824,mean,-0.630478072721206,0.5321820254353035,1.0299149157716487
0,Llama.png,9,50,resnet50,0.3103020891834528,mean,-0.5577931592360734,0.600381635593948,0.8848967516885134
1,Llama.png,9,50,resnet50,-0.07973900079820773,mean,-0.5577931592360734,0.600381635593948,0.8848967516885134
2,Llama.png,9,50,resnet50,-0.6591677525040349,mean,-0.5577931592360734,0.600381635593948,0.8848967516885134
3,Llama.png,9,50,resnet50,3.0284167130149067,mean,-0.5577931592360734,0.600381635593948,0.8848967516885134
4,Llama.png,9,50,resnet50,-0.4631380827560548,mean,-0.5577931592360734,0.600381635593948,0.8848967516885134
5,Llama.png,9,50,resnet50,-0.5513825962795706,mean,-0.5577931592360734,0.600381635593948,0.8848967516885134
6,Llama.png,9,50,resnet50,1.510385136404612,mean,-0.5577931592360734,0.600381635593948,0.8848967516885134
7,Llama.png,9,50,resnet50,0.7835576752383102,mean,-0.5577931592360734,0.600381635593948,0.8848967516885134
8,Llama.png,9,50,resnet50,0.29268207321639994,mean,-0.5577931592360734,0.600381635593948,0.8848967516885134
0,Llama.png,9,100,resnet50,1.8437811520058291,0,-0.5762767708951171,0.5091694380420664,1.057789408882302
1,Llama.png,9,100,resnet50,-0.663636470325176,0,-0.5762767708951171,0.5091694380420664,1.057789408882302
2,Llama.png,9,100,resnet50,-0.6768450284400361,0,-0.5762767708951171,0.5091694380420664,1.057789408882302
3,Llama.png,9,100,resnet50,0.8821849978040732,0,-0.5762767708951171,0.5091694380420664,1.057789408882302
4,Llama.png,9,100,resnet50,0.03673001735568515,0,-0.5762767708951171,0.5091694380420664,1.057789408882302
5,Llama.png,9,100,resnet50,0.1859680086327311,0,-0.5762767708951171,0.5091694380420664,1.057789408882302
6,Llama.png,9,100,resnet50,0.984784216530815,0,-0.5762767708951171,0.5091694380420664,1.057789408882302
7,Llama.png,9,100,resnet50,0.27289165962376993,0,-0.5762767708951171,0.5091694380420664,1.057789408882302
8,Llama.png,9,100,resnet50,0.6379895229975125,0,-0.5762767708951171,0.5091694380420664,1.057789408882302
0,Llama.png,9,1000,resnet50,0.9685433755932367,0,-0.5675741025580026,0.43864381677137254,1.2463584524065965
1,Llama.png,9,1000,resnet50,-0.5457047239069619,0,-0.5675741025580026,0.43864381677137254,1.2463584524065965
2,Llama.png,9,1000,resnet50,-0.7011955711470759,0,-0.5675741025580026,0.43864381677137254,1.2463584524065965
3,Llama.png,9,1000,resnet50,0.4783340581000208,0,-0.5675741025580026,0.43864381677137254,1.2463584524065965
4,Llama.png,9,1000,resnet50,0.988503429066667,0,-0.5675741025580026,0.43864381677137254,1.2463584524065965
5,Llama.png,9,1000,resnet50,0.47347838583920876,0,-0.5675741025580026,0.43864381677137254,1.2463584524065965
6,Llama.png,9,1000,resnet50,0.07543725865891016,0,-0.5675741025580026,0.43864381677137254,1.2463584524065965
7,Llama.png,9,1000,resnet50,0.5029120727814572,0,-0.5675741025580026,0.43864381677137254,1.2463584524065965
8,Llama.png,9,1000,resnet50,0.6427651799303525,0,-0.5675741025580026,0.43864381677137254,1.2463584524065965
0,Llama.png,9,100,resnet50,2.299032288451701,mean,-0.4879418013677146,0.573072581674261,0.9543460658921162
1,Llama.png,9,100,resnet50,-0.37029852984210376,mean,-0.4879418013677146,0.573072581674261,0.9543460658921162
2,Llama.png,9,100,resnet50,-0.4199525613619798,mean,-0.4879418013677146,0.573072581674261,0.9543460658921162
3,Llama.png,9,100,resnet50,1.7603385797543116,mean,-0.4879418013677146,0.573072581674261,0.9543460658921162
4,Llama.png,9,100,resnet50,-0.23815422510988904,mean,-0.4879418013677146,0.573072581674261,0.9543460658921162
5,Llama.png,9,100,resnet50,-1.0312604339281535,mean,-0.4879418013677146,0.573072581674261,0.9543460658921162
6,Llama.png,9,100,resnet50,1.0425581802436952,mean,-0.4879418013677146,0.573072581674261,0.9543460658921162
7,Llama.png,9,100,resnet50,0.06533562914619384,mean,-0.4879418013677146,0.573072581674261,0.9543460658921162
8,Llama.png,9,100,resnet50,0.5767534780743389,mean,-0.4879418013677146,0.573072581674261,0.9543460658921162
0,Llama.png,9,1000,resnet50,1.4155586069304533,mean,-0.6731401316372803,0.42023933101102673,1.301086984548896
