,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term
0,Llama.png,9,30,visiontransformer,0.23155921850767625,0,2.6642697305824345,0.6133754796324705,0.8778710816532665
1,Llama.png,9,30,visiontransformer,-0.1422221380570723,0,2.6642697305824345,0.6133754796324705,0.8778710816532665
2,Llama.png,9,30,visiontransformer,-0.22148003557326001,0,2.6642697305824345,0.6133754796324705,0.8778710816532665
3,Llama.png,9,30,visiontransformer,3.441525702959442,0,2.6642697305824345,0.6133754796324705,0.8778710816532665
4,Llama.png,9,30,visiontransformer,-0.26908071791238997,0,2.6642697305824345,0.6133754796324705,0.8778710816532665
5,Llama.png,9,30,visiontransformer,0.5071535083110579,0,2.6642697305824345,0.6133754796324705,0.8778710816532665
6,Llama.png,9,30,visiontransformer,1.3916915430306651,0,2.6642697305824345,0.6133754796324705,0.8778710816532665
7,Llama.png,9,30,visiontransformer,1.449511479031509,0,2.6642697305824345,0.6133754796324705,0.8778710816532665
8,Llama.png,9,30,visiontransformer,0.5033839075877379,0,2.6642697305824345,0.6133754796324705,0.8778710816532665
0,Llama.png,6,10,visiontransformer,1.9171647258020736,mean,3.0804218040890907,0.617270584607616,0.7343099229637061
1,Llama.png,6,10,visiontransformer,-0.34747858771537865,mean,3.0804218040890907,0.617270584607616,0.7343099229637061
2,Llama.png,6,10,visiontransformer,0.2245085064096199,mean,3.0804218040890907,0.617270584607616,0.7343099229637061
3,Llama.png,6,10,visiontransformer,4.206485759255922,mean,3.0804218040890907,0.617270584607616,0.7343099229637061
4,Llama.png,6,10,visiontransformer,0.8769667413783966,mean,3.0804218040890907,0.617270584607616,0.7343099229637061
5,Llama.png,6,10,visiontransformer,-0.0853433056662441,mean,3.0804218040890907,0.617270584607616,0.7343099229637061
0,Llama.png,6,10,visiontransformer,1.066523570428175,0,2.4313078911611026,0.6392079251225046,0.6992373371951437
1,Llama.png,6,10,visiontransformer,-1.4664259303809273,0,2.4313078911611026,0.6392079251225046,0.6992373371951437
2,Llama.png,6,10,visiontransformer,0.820640296939847,0,2.4313078911611026,0.6392079251225046,0.6992373371951437
3,Llama.png,6,10,visiontransformer,5.508405352484525,0,2.4313078911611026,0.6392079251225046,0.6992373371951437
4,Llama.png,6,10,visiontransformer,0.4208969796644049,0,2.4313078911611026,0.6392079251225046,0.6992373371951437
5,Llama.png,6,10,visiontransformer,0.2433002799761138,0,2.4313078911611026,0.6392079251225046,0.6992373371951437
0,Llama.png,9,30,visiontransformer,-0.05193245723460538,mean,2.4589881854848814,0.4554506609980423,1.1829573423572382
1,Llama.png,9,30,visiontransformer,-0.09874346763609387,mean,2.4589881854848814,0.4554506609980423,1.1829573423572382
2,Llama.png,9,30,visiontransformer,-0.01842603228104739,mean,2.4589881854848814,0.4554506609980423,1.1829573423572382
3,Llama.png,9,30,visiontransformer,2.62251217363049,mean,2.4589881854848814,0.4554506609980423,1.1829573423572382
4,Llama.png,9,30,visiontransformer,-0.26541760101929723,mean,2.4589881854848814,0.4554506609980423,1.1829573423572382
5,Llama.png,9,30,visiontransformer,0.09611343040867304,mean,2.4589881854848814,0.4554506609980423,1.1829573423572382
6,Llama.png,9,30,visiontransformer,2.119632062705449,mean,2.4589881854848814,0.4554506609980423,1.1829573423572382
7,Llama.png,9,30,visiontransformer,0.9164342731684301,mean,2.4589881854848814,0.4554506609980423,1.1829573423572382
8,Llama.png,9,30,visiontransformer,-0.594563306897579,mean,2.4589881854848814,0.4554506609980423,1.1829573423572382
0,Llama.png,9,50,visiontransformer,0.23424747596471374,0,2.6408728312687737,0.6208251831079495,0.8694324787231585
1,Llama.png,9,50,visiontransformer,0.12402741196569012,0,2.6408728312687737,0.6208251831079495,0.8694324787231585
2,Llama.png,9,50,visiontransformer,-0.5988407497725625,0,2.6408728312687737,0.6208251831079495,0.8694324787231585
3,Llama.png,9,50,visiontransformer,3.7390934976406056,0,2.6408728312687737,0.6208251831079495,0.8694324787231585
4,Llama.png,9,50,visiontransformer,-0.24415849473797802,0,2.6408728312687737,0.6208251831079495,0.8694324787231585
5,Llama.png,9,50,visiontransformer,0.18673506137713347,0,2.6408728312687737,0.6208251831079495,0.8694324787231585
6,Llama.png,9,50,visiontransformer,1.8390782814543938,0,2.6408728312687737,0.6208251831079495,0.8694324787231585
7,Llama.png,9,50,visiontransformer,1.0283303290501464,0,2.6408728312687737,0.6208251831079495,0.8694324787231585
8,Llama.png,9,50,visiontransformer,0.4513758543140713,0,2.6408728312687737,0.6208251831079495,0.8694324787231585
0,Llama.png,9,50,visiontransformer,1.469940193236528,mean,2.4531877377014366,0.5842080135049877,0.9112995723982774
1,Llama.png,9,50,visiontransformer,0.1813408461777637,mean,2.4531877377014366,0.5842080135049877,0.9112995723982774
2,Llama.png,9,50,visiontransformer,-0.08906709665654389,mean,2.4531877377014366,0.5842080135049877,0.9112995723982774
3,Llama.png,9,50,visiontransformer,3.2700767392576235,mean,2.4531877377014366,0.5842080135049877,0.9112995723982774
4,Llama.png,9,50,visiontransformer,-0.6197082131130245,mean,2.4531877377014366,0.5842080135049877,0.9112995723982774
5,Llama.png,9,50,visiontransformer,-0.1536202794278685,mean,2.4531877377014366,0.5842080135049877,0.9112995723982774
6,Llama.png,9,50,visiontransformer,2.5151764393721785,mean,2.4531877377014366,0.5842080135049877,0.9112995723982774
7,Llama.png,9,50,visiontransformer,-0.7002595577910004,mean,2.4531877377014366,0.5842080135049877,0.9112995723982774
8,Llama.png,9,50,visiontransformer,-0.0008520338505291214,mean,2.4531877377014366,0.5842080135049877,0.9112995723982774
0,Llama.png,9,100,visiontransformer,0.3294102068373731,0,2.76904429315665,0.7851770833134712,0.6790785829038989
1,Llama.png,9,100,visiontransformer,0.34296935506341875,0,2.76904429315665,0.7851770833134712,0.6790785829038989
2,Llama.png,9,100,visiontransformer,-0.028482666961963776,0,2.76904429315665,0.7851770833134712,0.6790785829038989
3,Llama.png,9,100,visiontransformer,4.1345023775868945,0,2.76904429315665,0.7851770833134712,0.6790785829038989
4,Llama.png,9,100,visiontransformer,0.4783279795005,0,2.76904429315665,0.7851770833134712,0.6790785829038989
5,Llama.png,9,100,visiontransformer,0.08631016808493874,0,2.76904429315665,0.7851770833134712,0.6790785829038989
6,Llama.png,9,100,visiontransformer,0.6630562024145554,0,2.76904429315665,0.7851770833134712,0.6790785829038989
7,Llama.png,9,100,visiontransformer,2.207531822697389,0,2.76904429315665,0.7851770833134712,0.6790785829038989
8,Llama.png,9,100,visiontransformer,0.6627833057006717,0,2.76904429315665,0.7851770833134712,0.6790785829038989
0,Llama.png,9,1000,visiontransformer,0.17160436818773406,0,2.418764762687866,0.49715296490020416,1.0711376618666728
1,Llama.png,9,1000,visiontransformer,0.943434208227742,0,2.418764762687866,0.49715296490020416,1.0711376618666728
2,Llama.png,9,1000,visiontransformer,-0.3060980636376973,0,2.418764762687866,0.49715296490020416,1.0711376618666728
3,Llama.png,9,1000,visiontransformer,1.1739323710272296,0,2.418764762687866,0.49715296490020416,1.0711376618666728
4,Llama.png,9,1000,visiontransformer,1.6248414752818459,0,2.418764762687866,0.49715296490020416,1.0711376618666728
5,Llama.png,9,1000,visiontransformer,0.5193491540993874,0,2.418764762687866,0.49715296490020416,1.0711376618666728
