,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term
0,Llama.png,6,10,googlenet,0.02801046869427861,0,0.9944723531379953,0.07442878419139176,6.1080249962384565
1,Llama.png,6,10,googlenet,0.013241570628820198,0,0.9944723531379953,0.07442878419139176,6.1080249962384565
2,Llama.png,6,10,googlenet,0.029710071738265925,0,0.9944723531379953,0.07442878419139176,6.1080249962384565
3,Llama.png,6,10,googlenet,0.9141606980807999,0,0.9944723531379953,0.07442878419139176,6.1080249962384565
4,Llama.png,6,10,googlenet,0.028577786757952098,0,0.9944723531379953,0.07442878419139176,6.1080249962384565
5,Llama.png,6,10,googlenet,0.011861320246197835,0,0.9944723531379953,0.07442878419139176,6.1080249962384565
0,Llama.png,9,30,googlenet,0.07182415106845683,0,0.9704674794199472,0.05680915030115431,9.31523026502718
1,Llama.png,9,30,googlenet,0.07654047962363245,0,0.9704674794199472,0.05680915030115431,9.31523026502718
2,Llama.png,9,30,googlenet,0.033735823614163114,0,0.9704674794199472,0.05680915030115431,9.31523026502718
3,Llama.png,9,30,googlenet,0.48136771737807593,0,0.9704674794199472,0.05680915030115431,9.31523026502718
4,Llama.png,9,30,googlenet,0.062130829501240895,0,0.9704674794199472,0.05680915030115431,9.31523026502718
5,Llama.png,9,30,googlenet,0.03026836391030891,0,0.9704674794199472,0.05680915030115431,9.31523026502718
6,Llama.png,9,30,googlenet,0.08755824754839839,0,0.9704674794199472,0.05680915030115431,9.31523026502718
7,Llama.png,9,30,googlenet,0.1727532186255552,0,0.9704674794199472,0.05680915030115431,9.31523026502718
8,Llama.png,9,30,googlenet,0.08714548224944504,0,0.9704674794199472,0.05680915030115431,9.31523026502718
0,Llama.png,6,10,googlenet,0.037325339739115476,mean,1.0107502426592023,0.07606264027507292,6.061748756745146
1,Llama.png,6,10,googlenet,0.020343744506125,mean,1.0107502426592023,0.07606264027507292,6.061748756745146
2,Llama.png,6,10,googlenet,0.03775147449272649,mean,1.0107502426592023,0.07606264027507292,6.061748756745146
3,Llama.png,6,10,googlenet,0.9084674716711544,mean,1.0107502426592023,0.07606264027507292,6.061748756745146
4,Llama.png,6,10,googlenet,0.04311211435521274,mean,1.0107502426592023,0.07606264027507292,6.061748756745146
5,Llama.png,6,10,googlenet,0.026779028558912676,mean,1.0107502426592023,0.07606264027507292,6.061748756745146
0,Llama.png,9,50,googlenet,0.05655818084290516,0,0.9734151059390266,0.061380840858795964,8.588887792771732
1,Llama.png,9,50,googlenet,0.0673607694881675,0,0.9734151059390266,0.061380840858795964,8.588887792771732
2,Llama.png,9,50,googlenet,0.05270425381601325,0,0.9734151059390266,0.061380840858795964,8.588887792771732
3,Llama.png,9,50,googlenet,0.5222301529962948,0,0.9734151059390266,0.061380840858795964,8.588887792771732
4,Llama.png,9,50,googlenet,0.09518937034166405,0,0.9734151059390266,0.061380840858795964,8.588887792771732
5,Llama.png,9,50,googlenet,0.1009715211802931,0,0.9734151059390266,0.061380840858795964,8.588887792771732
6,Llama.png,9,50,googlenet,0.05870643211094559,0,0.9734151059390266,0.061380840858795964,8.588887792771732
7,Llama.png,9,50,googlenet,0.1291286572856923,0,0.9734151059390266,0.061380840858795964,8.588887792771732
8,Llama.png,9,50,googlenet,0.04983676663913508,0,0.9734151059390266,0.061380840858795964,8.588887792771732
0,Llama.png,9,30,googlenet,0.026608762450857817,mean,1.0134876450367574,0.06201988880127305,8.60541159261836
1,Llama.png,9,30,googlenet,0.0637617032508419,mean,1.0134876450367574,0.06201988880127305,8.60541159261836
2,Llama.png,9,30,googlenet,0.08530624695992407,mean,1.0134876450367574,0.06201988880127305,8.60541159261836
3,Llama.png,9,30,googlenet,0.5922433460039381,mean,1.0134876450367574,0.06201988880127305,8.60541159261836
4,Llama.png,9,30,googlenet,0.05394958651604115,mean,1.0134876450367574,0.06201988880127305,8.60541159261836
5,Llama.png,9,30,googlenet,0.06077050164302138,mean,1.0134876450367574,0.06201988880127305,8.60541159261836
6,Llama.png,9,30,googlenet,0.07534054228050924,mean,1.0134876450367574,0.06201988880127305,8.60541159261836
7,Llama.png,9,30,googlenet,0.11327078519917672,mean,1.0134876450367574,0.06201988880127305,8.60541159261836
8,Llama.png,9,30,googlenet,0.0393818798468106,mean,1.0134876450367574,0.06201988880127305,8.60541159261836
0,Llama.png,9,50,googlenet,0.03809254363508911,mean,0.9975204159871583,0.0671010191669064,7.978851212997897
1,Llama.png,9,50,googlenet,0.014105463892382625,mean,0.9975204159871583,0.0671010191669064,7.978851212997897
2,Llama.png,9,50,googlenet,0.03880557765476185,mean,0.9975204159871583,0.0671010191669064,7.978851212997897
3,Llama.png,9,50,googlenet,0.6695820933475585,mean,0.9975204159871583,0.0671010191669064,7.978851212997897
4,Llama.png,9,50,googlenet,0.030915041201566226,mean,0.9975204159871583,0.0671010191669064,7.978851212997897
5,Llama.png,9,50,googlenet,0.055151695207523194,mean,0.9975204159871583,0.0671010191669064,7.978851212997897
6,Llama.png,9,50,googlenet,0.05694921799623433,mean,0.9975204159871583,0.0671010191669064,7.978851212997897
7,Llama.png,9,50,googlenet,0.06878141593707873,mean,0.9975204159871583,0.0671010191669064,7.978851212997897
8,Llama.png,9,50,googlenet,0.06853517742789103,mean,0.9975204159871583,0.0671010191669064,7.978851212997897
0,Llama.png,9,100,googlenet,0.06935589064448908,0,0.9923296647666012,0.054514151817027574,9.676330232607546
1,Llama.png,9,100,googlenet,0.1536115671731675,0,0.9923296647666012,0.054514151817027574,9.676330232607546
2,Llama.png,9,100,googlenet,0.0031808620482249896,0,0.9923296647666012,0.054514151817027574,9.676330232607546
3,Llama.png,9,100,googlenet,0.40719290784828777,0,0.9923296647666012,0.054514151817027574,9.676330232607546
4,Llama.png,9,100,googlenet,0.11801588888718367,0,0.9923296647666012,0.054514151817027574,9.676330232607546
5,Llama.png,9,100,googlenet,0.08697417331262514,0,0.9923296647666012,0.054514151817027574,9.676330232607546
