,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term
0,Llama.png,6,10,resnet50,0.1585784374421169,0,0.27461083519971397,0.03716681028439054,11.532960189106372
1,Llama.png,6,10,resnet50,-0.01797850982890939,0,0.27461083519971397,0.03716681028439054,11.532960189106372
2,Llama.png,6,10,resnet50,-0.10851849866116789,0,0.27461083519971397,0.03716681028439054,11.532960189106372
3,Llama.png,6,10,resnet50,0.1502280272955788,0,0.27461083519971397,0.03716681028439054,11.532960189106372
4,Llama.png,6,10,resnet50,-0.016739975154599893,0,0.27461083519971397,0.03716681028439054,11.532960189106372
5,Llama.png,6,10,resnet50,-0.027659982638224823,0,0.27461083519971397,0.03716681028439054,11.532960189106372
0,Llama.png,6,10,resnet50,0.08505624618211553,mean,0.3222186732266163,0.025501316377639784,17.17384721584791
1,Llama.png,6,10,resnet50,0.004693948559866136,mean,0.3222186732266163,0.025501316377639784,17.17384721584791
2,Llama.png,6,10,resnet50,0.03194763782074259,mean,0.3222186732266163,0.025501316377639784,17.17384721584791
3,Llama.png,6,10,resnet50,0.16707924601890908,mean,0.3222186732266163,0.025501316377639784,17.17384721584791
4,Llama.png,6,10,resnet50,0.02023758344381799,mean,0.3222186732266163,0.025501316377639784,17.17384721584791
5,Llama.png,6,10,resnet50,-0.015455472964639411,mean,0.3222186732266163,0.025501316377639784,17.17384721584791
0,Llama.png,9,30,resnet50,0.011194561514844747,0,0.32231575320635575,0.03280930158998884,15.736040878052595
1,Llama.png,9,30,resnet50,-0.028120177613651258,0,0.32231575320635575,0.03280930158998884,15.736040878052595
2,Llama.png,9,30,resnet50,-0.022493774488852408,0,0.32231575320635575,0.03280930158998884,15.736040878052595
3,Llama.png,9,30,resnet50,0.2471106877045953,0,0.32231575320635575,0.03280930158998884,15.736040878052595
4,Llama.png,9,30,resnet50,-0.02972009056183745,0,0.32231575320635575,0.03280930158998884,15.736040878052595
5,Llama.png,9,30,resnet50,-0.004281064961876826,0,0.32231575320635575,0.03280930158998884,15.736040878052595
6,Llama.png,9,30,resnet50,0.054689872933050956,0,0.32231575320635575,0.03280930158998884,15.736040878052595
7,Llama.png,9,30,resnet50,-0.006997070508128943,0,0.32231575320635575,0.03280930158998884,15.736040878052595
8,Llama.png,9,30,resnet50,-0.001767547603067042,0,0.32231575320635575,0.03280930158998884,15.736040878052595
0,Llama.png,9,50,resnet50,0.016210750645458703,0,0.308914900533038,0.035570214355356705,14.903428524383447
1,Llama.png,9,50,resnet50,-0.023752129837108726,0,0.308914900533038,0.035570214355356705,14.903428524383447
2,Llama.png,9,50,resnet50,-0.023479206687116356,0,0.308914900533038,0.035570214355356705,14.903428524383447
3,Llama.png,9,50,resnet50,0.21207760241327217,0,0.308914900533038,0.035570214355356705,14.903428524383447
4,Llama.png,9,50,resnet50,-0.03775547878581173,0,0.308914900533038,0.035570214355356705,14.903428524383447
5,Llama.png,9,50,resnet50,-0.029369373287781428,0,0.308914900533038,0.035570214355356705,14.903428524383447
6,Llama.png,9,50,resnet50,0.06930926811230564,0,0.308914900533038,0.035570214355356705,14.903428524383447
7,Llama.png,9,50,resnet50,-0.014134593877391365,0,0.308914900533038,0.035570214355356705,14.903428524383447
8,Llama.png,9,50,resnet50,0.041312895367674574,0,0.308914900533038,0.035570214355356705,14.903428524383447
0,Llama.png,9,30,resnet50,0.002694465812832749,mean,0.31558586961500756,0.027238923717452446,18.992638046297216
1,Llama.png,9,30,resnet50,-0.021636133078117292,mean,0.31558586961500756,0.027238923717452446,18.992638046297216
2,Llama.png,9,30,resnet50,0.028222691348852334,mean,0.31558586961500756,0.027238923717452446,18.992638046297216
3,Llama.png,9,30,resnet50,0.17976165272579803,mean,0.31558586961500756,0.027238923717452446,18.992638046297216
4,Llama.png,9,30,resnet50,-0.01035641239941923,mean,0.31558586961500756,0.027238923717452446,18.992638046297216
5,Llama.png,9,30,resnet50,-0.02081026801428288,mean,0.31558586961500756,0.027238923717452446,18.992638046297216
6,Llama.png,9,30,resnet50,0.02674503936274026,mean,0.31558586961500756,0.027238923717452446,18.992638046297216
7,Llama.png,9,30,resnet50,0.0070644495639051105,mean,0.31558586961500756,0.027238923717452446,18.992638046297216
