,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term
0,Llama.png,9,30,vgg16,0.01718400501909237,0,1.0499806748904914,0.06843460092931912,7.722071599600484
1,Llama.png,9,30,vgg16,0.03160831295975568,0,1.0499806748904914,0.06843460092931912,7.722071599600484
2,Llama.png,9,30,vgg16,0.054837499088997266,0,1.0499806748904914,0.06843460092931912,7.722071599600484
3,Llama.png,9,30,vgg16,0.681145098059754,0,1.0499806748904914,0.06843460092931912,7.722071599600484
4,Llama.png,9,30,vgg16,-0.0024359255935016075,0,1.0499806748904914,0.06843460092931912,7.722071599600484
5,Llama.png,9,30,vgg16,-0.021988548426625485,0,1.0499806748904914,0.06843460092931912,7.722071599600484
6,Llama.png,9,30,vgg16,0.15653742999666068,0,1.0499806748904914,0.06843460092931912,7.722071599600484
7,Llama.png,9,30,vgg16,0.10627959145714173,0,1.0499806748904914,0.06843460092931912,7.722071599600484
8,Llama.png,9,30,vgg16,0.006965837169153458,0,1.0499806748904914,0.06843460092931912,7.722071599600484
0,Llama.png,6,10,vgg16,0.00962128220737013,0,1.0015042950083397,0.07523065632468805,5.724412150860128
1,Llama.png,6,10,vgg16,0.0008008965064853144,0,1.0015042950083397,0.07523065632468805,5.724412150860128
2,Llama.png,6,10,vgg16,0.0021884713542674322,0,1.0015042950083397,0.07523065632468805,5.724412150860128
3,Llama.png,6,10,vgg16,0.9835592854946889,0,1.0015042950083397,0.07523065632468805,5.724412150860128
4,Llama.png,6,10,vgg16,0.007081028813794927,0,1.0015042950083397,0.07523065632468805,5.724412150860128
5,Llama.png,6,10,vgg16,0.00499597932823205,0,1.0015042950083397,0.07523065632468805,5.724412150860128
0,Llama.png,6,10,vgg16,0.0006098921565824145,mean,0.9999239866316754,0.07785323128524484,5.650771722017907
1,Llama.png,6,10,vgg16,0.0005229101225061872,mean,0.9999239866316754,0.07785323128524484,5.650771722017907
2,Llama.png,6,10,vgg16,0.0011274119056119691,mean,0.9999239866316754,0.07785323128524484,5.650771722017907
3,Llama.png,6,10,vgg16,0.9971640496348049,mean,0.9999239866316754,0.07785323128524484,5.650771722017907
4,Llama.png,6,10,vgg16,0.000788711021100369,mean,0.9999239866316754,0.07785323128524484,5.650771722017907
5,Llama.png,6,10,vgg16,0.0006147531188148425,mean,0.9999239866316754,0.07785323128524484,5.650771722017907
0,Llama.png,9,50,vgg16,-0.008826323346378031,0,1.040250612371551,0.07317530467913688,7.290407446846294
1,Llama.png,9,50,vgg16,0.02207773068246524,0,1.040250612371551,0.07317530467913688,7.290407446846294
2,Llama.png,9,50,vgg16,-0.014388556582243042,0,1.040250612371551,0.07317530467913688,7.290407446846294
3,Llama.png,9,50,vgg16,0.6951123903599311,0,1.040250612371551,0.07317530467913688,7.290407446846294
4,Llama.png,9,50,vgg16,-0.03505589509398613,0,1.040250612371551,0.07317530467913688,7.290407446846294
5,Llama.png,9,50,vgg16,0.009576497294943889,0,1.040250612371551,0.07317530467913688,7.290407446846294
6,Llama.png,9,50,vgg16,0.26087547653135795,0,1.040250612371551,0.07317530467913688,7.290407446846294
7,Llama.png,9,50,vgg16,0.0512597297304413,0,1.040250612371551,0.07317530467913688,7.290407446846294
8,Llama.png,9,50,vgg16,0.009840232552820523,0,1.040250612371551,0.07317530467913688,7.290407446846294
0,Llama.png,9,30,vgg16,0.0339817476657708,mean,1.062140497910978,0.06356549061230453,8.442474171305637
1,Llama.png,9,30,vgg16,0.02515843297591394,mean,1.062140497910978,0.06356549061230453,8.442474171305637
2,Llama.png,9,30,vgg16,0.04630325117744209,mean,1.062140497910978,0.06356549061230453,8.442474171305637
3,Llama.png,9,30,vgg16,0.5866238273396891,mean,1.062140497910978,0.06356549061230453,8.442474171305637
4,Llama.png,9,30,vgg16,0.019509667243394077,mean,1.062140497910978,0.06356549061230453,8.442474171305637
5,Llama.png,9,30,vgg16,0.04544805601231855,mean,1.062140497910978,0.06356549061230453,8.442474171305637
6,Llama.png,9,30,vgg16,0.16546746411961238,mean,1.062140497910978,0.06356549061230453,8.442474171305637
7,Llama.png,9,30,vgg16,0.12075588633900364,mean,1.062140497910978,0.06356549061230453,8.442474171305637
8,Llama.png,9,30,vgg16,0.04647843184515989,mean,1.062140497910978,0.06356549061230453,8.442474171305637
0,Llama.png,9,50,vgg16,0.09903338743712578,mean,1.0779988885075316,0.060302183614461685,8.835198736333595
1,Llama.png,9,50,vgg16,0.035004014568841474,mean,1.0779988885075316,0.060302183614461685,8.835198736333595
2,Llama.png,9,50,vgg16,0.02465861198415245,mean,1.0779988885075316,0.060302183614461685,8.835198736333595
3,Llama.png,9,50,vgg16,0.5337468550881624,mean,1.0779988885075316,0.060302183614461685,8.835198736333595
