,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term
0,Llama.png,6,10,visiontransformer,0.09656889843543481,0,0.9776022436404647,0.06969198544965062,6.239809690634949
1,Llama.png,6,10,visiontransformer,-0.011769728817027543,0,0.9776022436404647,0.06969198544965062,6.239809690634949
2,Llama.png,6,10,visiontransformer,0.09415859904126381,0,0.9776022436404647,0.06969198544965062,6.239809690634949
3,Llama.png,6,10,visiontransformer,0.6702584584524436,0,0.9776022436404647,0.06969198544965062,6.239809690634949
4,Llama.png,6,10,visiontransformer,0.0635335635398506,0,0.9776022436404647,0.06969198544965062,6.239809690634949
5,Llama.png,6,10,visiontransformer,0.036344607869669546,0,0.9776022436404647,0.06969198544965062,6.239809690634949
0,Llama.png,6,10,visiontransformer,0.18460649701125792,mean,0.917058494062552,0.061119541914763924,7.064506770408566
1,Llama.png,6,10,visiontransformer,-0.06941612498492478,mean,0.917058494062552,0.061119541914763924,7.064506770408566
2,Llama.png,6,10,visiontransformer,0.005185862430200111,mean,0.917058494062552,0.061119541914763924,7.064506770408566
3,Llama.png,6,10,visiontransformer,0.6623691877052731,mean,0.917058494062552,0.061119541914763924,7.064506770408566
4,Llama.png,6,10,visiontransformer,0.014405907017056682,mean,0.917058494062552,0.061119541914763924,7.064506770408566
5,Llama.png,6,10,visiontransformer,-0.05047277309692148,mean,0.917058494062552,0.061119541914763924,7.064506770408566
0,Llama.png,9,30,visiontransformer,0.022960827918474133,0,0.9598167038515586,0.06032740247103086,8.863932424733685
1,Llama.png,9,30,visiontransformer,-0.016800474536402897,0,0.9598167038515586,0.06032740247103086,8.863932424733685
2,Llama.png,9,30,visiontransformer,-0.005315450890782666,0,0.9598167038515586,0.06032740247103086,8.863932424733685
3,Llama.png,9,30,visiontransformer,0.49068806260290443,0,0.9598167038515586,0.06032740247103086,8.863932424733685
4,Llama.png,9,30,visiontransformer,0.027310686974908727,0,0.9598167038515586,0.06032740247103086,8.863932424733685
5,Llama.png,9,30,visiontransformer,0.010972885666583089,0,0.9598167038515586,0.06032740247103086,8.863932424733685
6,Llama.png,9,30,visiontransformer,0.12486543791688565,0,0.9598167038515586,0.06032740247103086,8.863932424733685
7,Llama.png,9,30,visiontransformer,0.1711751169490111,0,0.9598167038515586,0.06032740247103086,8.863932424733685
8,Llama.png,9,30,visiontransformer,0.05784964788387517,0,0.9598167038515586,0.06032740247103086,8.863932424733685
0,Llama.png,9,30,visiontransformer,0.020548238832071263,mean,0.9239713518822356,0.05786471091870501,8.302764541392284
1,Llama.png,9,30,visiontransformer,-0.06309026994920738,mean,0.9239713518822356,0.05786471091870501,8.302764541392284
2,Llama.png,9,30,visiontransformer,-0.03372533389850724,mean,0.9239713518822356,0.05786471091870501,8.302764541392284
3,Llama.png,9,30,visiontransformer,0.4205619829976368,mean,0.9239713518822356,0.05786471091870501,8.302764541392284
4,Llama.png,9,30,visiontransformer,0.03342911513917991,mean,0.9239713518822356,0.05786471091870501,8.302764541392284
5,Llama.png,9,30,visiontransformer,0.0052027068641098545,mean,0.9239713518822356,0.05786471091870501,8.302764541392284
6,Llama.png,9,30,visiontransformer,0.25852951407182845,mean,0.9239713518822356,0.05786471091870501,8.302764541392284
7,Llama.png,9,30,visiontransformer,0.12395622956174941,mean,0.9239713518822356,0.05786471091870501,8.302764541392284
8,Llama.png,9,30,visiontransformer,-0.07964953828152674,mean,0.9239713518822356,0.05786471091870501,8.302764541392284
0,Llama.png,9,50,visiontransformer,0.023004097450577563,0,0.9705774494761694,0.058854553047077776,9.092677300594158
1,Llama.png,9,50,visiontransformer,0.021724596109150764,0,0.9705774494761694,0.058854553047077776,9.092677300594158
2,Llama.png,9,50,visiontransformer,-0.0010909097124888328,0,0.9705774494761694,0.058854553047077776,9.092677300594158
3,Llama.png,9,50,visiontransformer,0.48760866425803023,0,0.9705774494761694,0.058854553047077776,9.092677300594158
4,Llama.png,9,50,visiontransformer,0.045633698984305235,0,0.9705774494761694,0.058854553047077776,9.092677300594158
5,Llama.png,9,50,visiontransformer,0.02904657656409269,0,0.9705774494761694,0.058854553047077776,9.092677300594158
6,Llama.png,9,50,visiontransformer,0.1451270506107904,0,0.9705774494761694,0.058854553047077776,9.092677300594158
7,Llama.png,9,50,visiontransformer,0.12658679776710646,0,0.9705774494761694,0.058854553047077776,9.092677300594158
8,Llama.png,9,50,visiontransformer,0.05418172085159101,0,0.9705774494761694,0.058854553047077776,9.092677300594158
0,Llama.png,9,50,visiontransformer,0.14121982642840253,mean,0.964302022034523,0.05710238411174324,9.21981574120165
1,Llama.png,9,50,visiontransformer,-0.021913297062807514,mean,0.964302022034523,0.05710238411174324,9.21981574120165
2,Llama.png,9,50,visiontransformer,-0.021072375852595707,mean,0.964302022034523,0.05710238411174324,9.21981574120165
3,Llama.png,9,50,visiontransformer,0.4268695142359916,mean,0.964302022034523,0.05710238411174324,9.21981574120165
4,Llama.png,9,50,visiontransformer,0.03960443121936204,mean,0.964302022034523,0.05710238411174324,9.21981574120165
5,Llama.png,9,50,visiontransformer,0.0063832269874136705,mean,0.964302022034523,0.05710238411174324,9.21981574120165
6,Llama.png,9,50,visiontransformer,0.22245566332425454,mean,0.964302022034523,0.05710238411174324,9.21981574120165
7,Llama.png,9,50,visiontransformer,0.043239735206603104,mean,0.964302022034523,0.05710238411174324,9.21981574120165
8,Llama.png,9,50,visiontransformer,-0.008872332216456058,mean,0.964302022034523,0.05710238411174324,9.21981574120165
0,Llama.png,9,100,visiontransformer,0.013988735077690134,0,0.9280507821368351,0.05754436547933389,9.411806889784158
1,Llama.png,9,100,visiontransformer,0.06347670560918378,0,0.9280507821368351,0.05754436547933389,9.411806889784158
2,Llama.png,9,100,visiontransformer,0.012684003182511205,0,0.9280507821368351,0.05754436547933389,9.411806889784158
3,Llama.png,9,100,visiontransformer,0.5097832544200475,0,0.9280507821368351,0.05754436547933389,9.411806889784158
4,Llama.png,9,100,visiontransformer,0.01867349106041516,0,0.9280507821368351,0.05754436547933389,9.411806889784158
